"Gebieden in Nederland 2015"
""
"";"Onderwerp"
"";"||Code";"Naam";"Sortering naam";"|||Code";"||Omschrijving";"|||Code";"||Omschrijving"
"Regio's";"code";"naam";"naam";"code";"omschrijving";"code";"omschrijving"
"Boxtel";"GM0757";"Boxtel";"Boxtel";"4";"20000tot50000inwoners";"3";"Matigstedelijk"
"Breda";"GM0758";"Breda";"Breda";"7";"150000tot250000inwoners";"2";"Sterkstedelijk"
"Brielle";"GM0501";"Brielle";"Brielle";"3";"10000tot20000inwoners";"4";"Weinigstedelijk"
"Bronckhorst";"GM1876";"Bronckhorst";"Bronckhorst";"4";"20000tot50000inwoners";"5";"Nietstedelijk"
"Brummen";"GM0213";"Brummen";"Brummen";"4";"20000tot50000inwoners";"4";"Weinigstedelijk"
"Brunssum";"GM0899";"Brunssum";"Brunssum";"4";"20000tot50000inwoners";"2";"Sterkstedelijk"
"Bunnik";"GM0312";"Bunnik";"Bunnik";"3";"10000tot20000inwoners";"4";"Weinigstedelijk"
"Bunschoten";"GM0313";"Bunschoten";"Bunschoten";"4";"20000tot50000inwoners";"3";"Matigstedelijk"
"Buren";"GM0214";"Buren";"Buren";"4";"20000tot50000inwoners";"5";"Nietstedelijk"
"Bussum";"GM0381";"Bussum";"Bussum";"4";"20000tot50000inwoners";"2";"Sterkstedelijk"
"Capelle aan den IJssel";"GM0502";"CapelleaandenIJssel";"CapelleaandenIJssel";"5";"50000tot100000inwoners";"2";"Sterkstedelijk"
"Castricum";"GM0383";"Castricum";"Castricum";"4";"20000tot50000inwoners";"3";"Matigstedelijk"
"Coevorden";"GM0109";"Coevorden";"Coevorden";"4";"20000tot50000inwoners";"5";"Nietstedelijk"
"Cranendonck";"GM1706";"Cranendonck";"Cranendonck";"4";"20000tot50000inwoners";"4";"Weinigstedelijk"
"Cromstrijen";"GM0611";"Cromstrijen";"Cromstrijen";"3";"10000tot20000inwoners";"4";"Weinigstedelijk"
"Cuijk";"GM1684";"Cuijk";"Cuijk";"4";"20000tot50000inwoners";"4";"Weinigstedelijk"
"Culemborg";"GM0216";"Culemborg";"Culemborg";"4";"20000tot50000inwoners";"3";"Matigstedelijk"
"Dalfsen";"GM0148";"Dalfsen";"Dalfsen";"4";"20000tot50000inwoners";"5";"Nietstedelijk"
"Dantumadiel";"GM1891";"Dantumadiel";"Dantumadiel";"3";"10000tot20000inwoners";"5";"Nietstedelijk"
"Delft";"GM0503";"Delft";"Delft";"6";"100000tot150000inwoners";"1";"Zeersterkstedelijk"
"Delfzijl";"GM0010";"Delfzijl";"Delfzijl";"4";"20000tot50000inwoners";"4";"Weinigstedelijk"
"Deurne";"GM0762";"Deurne";"Deurne";"4";"20000tot50000inwoners";"4";"Weinigstedelijk"
"Deventer";"GM0150";"Deventer";"Deventer";"5";"50000tot100000inwoners";"2";"Sterkstedelijk"
"Diemen";"GM0384";"Diemen";"Diemen";"4";"20000tot50000inwoners";"2";"Sterkstedelijk"
"Dinkelland";"GM1774";"Dinkelland";"Dinkelland";"4";"20000tot50000inwoners";"5";"Nietstedelijk"
"Doesburg";"GM0221";"Doesburg";"Doesburg";"3";"10000tot20000inwoners";"4";"Weinigstedelijk"
"Doetinchem";"GM0222";"Doetinchem";"Doetinchem";"5";"50000tot100000inwoners";"3";"Matigstedelijk"
"Dongen";"GM0766";"Dongen";"Dongen";"4";"20000tot50000inwoners";"3";"Matigstedelijk"
"Dongeradeel";"GM0058";"Dongeradeel";"Dongeradeel";"4";"20000tot50000inwoners";"4";"Weinigstedelijk"
"Dordrecht";"GM0505";"Dordrecht";"Dordrecht";"6";"100000tot150000inwoners";"1";"Zeersterkstedelijk"
"Drechterland";"GM0498";"Drechterland";"Drechterland";"3";"10000tot20000inwoners";"5";"Nietstedelijk"
"Drimmelen";"GM1719";"Drimmelen";"Drimmelen";"4";"20000tot50000inwoners";"4";"Weinigstedelijk"
"Dronten";"GM0303";"Dronten";"Dronten";"4";"20000tot50000inwoners";"4";"Weinigstedelijk"
"Druten";"GM0225";"Druten";"Druten";"3";"10000tot20000inwoners";"4";"Weinigstedelijk"
"Duiven";"GM0226";"Duiven";"Duiven";"4";"20000tot50000inwoners";"3";"Matigstedelijk"
"Echt-Susteren";"GM1711";"Echt-Susteren";"Echt+Susteren";"4";"20000tot50000inwoners";"4";"Weinigstedelijk"
"Edam-Volendam";"GM0385";"Edam-Volendam";"Edam+Volendam";"4";"20000tot50000inwoners";"3";"Matigstedelijk"
"Ede";"GM0228";"Ede";"Ede";"6";"100000tot150000inwoners";"3";"Matigstedelijk"
"Eemnes";"GM0317";"Eemnes";"Eemnes";"2";"5000tot10000inwoners";"4";"Weinigstedelijk"
"Eemsmond";"GM1651";"Eemsmond";"Eemsmond";"3";"10000tot20000inwoners";"5";"Nietstedelijk"
"Eersel";"GM0770";"Eersel";"Eersel";"3";"10000tot20000inwoners";"4";"Weinigstedelijk"
"Eijsden-Margraten";"GM1903";"Eijsden-Margraten";"Eijsden+Margraten";"4";"20000tot50000inwoners";"5";"Nietstedelijk"
"Eindhoven";"GM0772";"Eindhoven";"Eindhoven";"7";"150000tot250000inwoners";"2";"Sterkstedelijk"
"Elburg";"GM0230";"Elburg";"Elburg";"4";"20000tot50000inwoners";"4";"Weinigstedelijk"
"Emmen";"GM0114";"Emmen";"Emmen";"6";"100000tot150000inwoners";"4";"Weinigstedelijk"
"Enkhuizen";"GM0388";"Enkhuizen";"Enkhuizen";"3";"10000tot20000inwoners";"3";"Matigstedelijk"
"Enschede";"GM0153";"Enschede";"Enschede";"7";"150000tot250000inwoners";"2";"Sterkstedelijk"
"Epe";"GM0232";"Epe";"Epe";"4";"20000tot50000inwoners";"4";"Weinigstedelijk"
"Ermelo";"GM0233";"Ermelo";"Ermelo";"4";"20000tot50000inwoners";"4";"Weinigstedelijk"
"Etten-Leur";"GM0777";"Etten-Leur";"Etten+Leur";"4";"20000tot50000inwoners";"2";"Sterkstedelijk"
"Ferwerderadiel";"GM1722";"Ferwerderadiel";"Ferwerderadiel";"2";"5000tot10000inwoners";"5";"Nietstedelijk"
