"ID;""StatusVanBewoning"";""RegioS"";""Perioden"";""TotaleWoningvoorraad_1"";""Koopwoningen_2"";""TotaalHuurwoningen_3"";""EigendomWoningcorporatie_4"";""EigendomOverigeVerhuurders_5"";""EigendomOnbekend_6"""
"193;""T001235"";""CR08  "";""2013JJ00"";""   75396"";""   48528"";""   26121"";""   19716"";""    6405"";""     747"""
"194;""T001235"";""CR08  "";""2014JJ00"";""   76304"";""   48685"";""   26484"";""   19593"";""    6891"";""    1135"""
"195;""T001235"";""CR08  "";""2015JJ00"";""   76242"";""   48681"";""   26612"";""   19627"";""    6985"";""     949"""
"196;""T001235"";""CR08  "";""2016JJ00"";""   76174"";""   49015"";""   26329"";""   19461"";""    6868"";""     830"""
"197;""T001235"";""CR08  "";""2017JJ00"";""   75644"";""   48787"";""   26099"";""   19445"";""    6654"";""     758"""
"198;""T001235"";""CR08  "";""2018JJ00"";""   76009"";""   48865"";""   26394"";""   19522"";""    6872"";""     750"""
"200;""T001235"";""CR09  "";""2012JJ00"";""   55291"";""   35826"";""   19269"";""   14979"";""    4290"";""     196"""
"201;""T001235"";""CR09  "";""2013JJ00"";""   55918"";""   36229"";""   19452"";""   14908"";""    4544"";""     237"""
"202;""T001235"";""CR09  "";""2014JJ00"";""   57534"";""   36559"";""   20138"";""   14965"";""    5173"";""     837"""
"203;""T001235"";""CR09  "";""2015JJ00"";""   57794"";""   36627"";""   20441"";""   14921"";""    5520"";""     726"""
"204;""T001235"";""CR09  "";""2016JJ00"";""   58086"";""   36887"";""   20199"";""   15043"";""    5156"";""    1000"""
"205;""T001235"";""CR09  "";""2017JJ00"";""   58551"";""   37073"";""   20478"";""   15013"";""    5465"";""    1000"""
"206;""T001235"";""CR09  "";""2018JJ00"";""   59056"";""   37703"";""   20384"";""   15210"";""    5174"";""     969"""
"208;""T001235"";""CR10  "";""2012JJ00"";""  149694"";""   92364"";""   55842"";""   39581"";""   16261"";""    1488"""
"209;""T001235"";""CR10  "";""2013JJ00"";""  150741"";""   93098"";""   56446"";""   39799"";""   16647"";""    1197"""
"210;""T001235"";""CR10  "";""2014JJ00"";""  150491"";""   92933"";""   56383"";""   39734"";""   16649"";""    1175"""
"211;""T001235"";""CR10  "";""2015JJ00"";""  151497"";""   93679"";""   56722"";""   40042"";""   16680"";""    1096"""
"212;""T001235"";""CR10  "";""2016JJ00"";""  153151"";""   94247"";""   57755"";""   40003"";""   17752"";""    1149"""
"213;""T001235"";""CR10  "";""2017JJ00"";""  154596"";""   95072"";""   58475"";""   40122"";""   18353"";""    1049"""
"214;""T001235"";""CR10  "";""2018JJ00"";""  156175"";""   97110"";""   57983"";""   40465"";""   17518"";""    1082"""
"216;""T001235"";""CR11  "";""2012JJ00"";""   64561"";""   38647"";""   25491"";""   18932"";""    6559"";""     423"""
"217;""T001235"";""CR11  "";""2013JJ00"";""   64688"";""   38814"";""   25600"";""   18768"";""    6832"";""     274"""
"218;""T001235"";""CR11  "";""2014JJ00"";""   64867"";""   39084"";""   25520"";""   18468"";""    7052"";""     263"""
"219;""T001235"";""CR11  "";""2015JJ00"";""   65391"";""   39159"";""   25656"";""   18548"";""    7108"";""     576"""
"220;""T001235"";""CR11  "";""2016JJ00"";""   66392"";""   39675"";""   26422"";""   18951"";""    7471"";""     295"""
"221;""T001235"";""CR11  "";""2017JJ00"";""   67541"";""   39723"";""   27485"";""   19185"";""    8300"";""     333"""
"222;""T001235"";""CR11  "";""2018JJ00"";""   67909"";""   40434"";""   27288"";""   19122"";""    8166"";""     187"""
"224;""T001235"";""CR12  "";""2012JJ00"";""  268317"";""  158478"";""  106712"";""   81215"";""   25497"";""    3127"""
"225;""T001235"";""CR12  "";""2013JJ00"";""  269962"";""  159424"";""  108221"";""   81236"";""   26985"";""    2317"""
"226;""T001235"";""CR12  "";""2014JJ00"";""  272219"";""  159799"";""  108946"";""   80414"";""   28532"";""    3474"""
"227;""T001235"";""CR12  "";""2015JJ00"";""  273339"";""  160819"";""  109185"";""   82885"";""   26300"";""    3335"""
"228;""T001235"";""CR12  "";""2016JJ00"";""  274214"";""  161282"";""  109117"";""   80430"";""   28687"";""    3815"""
"229;""T001235"";""CR12  "";""2017JJ00"";""  275224"";""  161070"";""  110366"";""   81184"";""   29182"";""    3788"""
"230;""T001235"";""CR12  "";""2018JJ00"";""  275867"";""  164895"";""  107539"";""   79833"";""   27706"";""    3433"""
