"Status van bewoning;""Regio's"";""Perioden"";""Totale woningvoorraad (aantal)"";""Koopwoningen (aantal)"";""Huurwoningen/Totaal huurwoningen (aantal)"";""Huurwoningen/Eigendom woningcorporatie (aantal)"";""Huurwoningen/Eigendom overige verhuurders (aantal)"";""Eigendom onbekend (aantal)"""
"Totaal;""Overig Zeeland (CR)"";""2012"";126474;80481;44879;32694;12185;1114"
"Totaal;""Overig Zeeland (CR)"";""2013"";127610;81115;45731;32945;12786;764"
"Totaal;""Overig Zeeland (CR)"";""2014"";128992;81315;46112;32781;13331;1565"
"Totaal;""Overig Zeeland (CR)"";""2015"";129145;81751;46004;32820;13184;1390"
"Totaal;""Overig Zeeland (CR)"";""2016"";129613;82364;45760;32660;13100;1489"
"Totaal;""Overig Zeeland (CR)"";""2017"";130325;82556;46212;32515;13697;1557"
"Totaal;""Overig Zeeland (CR)"";""2018"";131108;83994;45547;32333;13214;1567"
"Totaal;""Overig Zeeland (CR)"";""2019"";131918;86061;44707;32233;12474;1150"
"Totaal;""Overig Zeeland (CR)"";""2020"";132858;86499;44863;32094;12769;1496"
"Totaal;""West-Noord-Brabant (CR)"";""2012"";267545;164410;101702;77598;24104;1433"
"Totaal;""West-Noord-Brabant (CR)"";""2013"";270897;166212;103720;78655;25065;965"
"Totaal;""West-Noord-Brabant (CR)"";""2014"";274637;166994;106300;80179;26121;1343"
"Totaal;""West-Noord-Brabant (CR)"";""2015"";276436;167757;107453;80613;26840;1226"
"Totaal;""West-Noord-Brabant (CR)"";""2016"";277337;168639;107060;79816;27244;1638"
"Totaal;""West-Noord-Brabant (CR)"";""2017"";279474;169063;108795;79606;29189;1616"
"Totaal;""West-Noord-Brabant (CR)"";""2018"";281663;170199;109886;79738;30148;1578"
"Totaal;""West-Noord-Brabant (CR)"";""2019"";283901;175231;107811;80558;27253;859"
"Totaal;""West-Noord-Brabant (CR)"";""2020"";285958;176185;108945;80379;28566;828"
"Totaal;""Midden-Noord-Brabant (CR)"";""2012"";195277;117142;76872;57844;19028;1263"
"Totaal;""Midden-Noord-Brabant (CR)"";""2013"";197168;118417;78102;58053;20049;649"
"Totaal;""Midden-Noord-Brabant (CR)"";""2014"";201417;119024;81064;59463;21601;1329"
"Totaal;""Midden-Noord-Brabant (CR)"";""2015"";203368;119774;82313;60009;22304;1281"
"Totaal;""Midden-Noord-Brabant (CR)"";""2016"";204773;120839;82484;58952;23532;1450"
"Totaal;""Midden-Noord-Brabant (CR)"";""2017"";206036;121294;83446;58940;24506;1296"
"Totaal;""Midden-Noord-Brabant (CR)"";""2018"";208862;123538;83884;59417;24467;1440"
"Totaal;""Midden-Noord-Brabant (CR)"";""2019"";211478;125909;85006;60151;24855;563"
"Totaal;""Midden-Noord-Brabant (CR)"";""2020"";213716;126766;86049;60165;25884;901"
"Totaal;""Noordoost-Noord-Brabant (CR)"";""2012"";266435;169866;94365;72740;21625;2204"
"Totaal;""Noordoost-Noord-Brabant (CR)"";""2013"";269772;171798;96251;73933;22318;1723"
"Totaal;""Noordoost-Noord-Brabant (CR)"";""2014"";273780;172759;98020;73508;24512;3001"
"Totaal;""Noordoost-Noord-Brabant (CR)"";""2015"";276414;173985;99192;73942;25250;3237"
"Totaal;""Noordoost-Noord-Brabant (CR)"";""2016"";278874;175687;99690;74173;25517;3497"
"Totaal;""Noordoost-Noord-Brabant (CR)"";""2017"";280598;176683;100781;73847;26934;3134"
"Totaal;""Noordoost-Noord-Brabant (CR)"";""2018"";284100;179899;100630;74584;26046;3571"
"Totaal;""Noordoost-Noord-Brabant (CR)"";""2019"";287602;182771;104190;75981;28209;641"
"Totaal;""Noordoost-Noord-Brabant (CR)"";""2020"";291212;184699;105748;76202;29546;765"
"Totaal;""Zuidoost-Noord-Brabant (CR)"";""2012"";321161;195515;122950;93911;29039;2696"
"Totaal;""Zuidoost-Noord-Brabant (CR)"";""2013"";324546;197118;125535;94782;30753;1893"
"Totaal;""Zuidoost-Noord-Brabant (CR)"";""2014"";328948;198072;128387;95799;32588;2489"
"Totaal;""Zuidoost-Noord-Brabant (CR)"";""2015"";331198;199349;129548;95857;33691;2301"
"Totaal;""Zuidoost-Noord-Brabant (CR)"";""2016"";335415;200593;130855;95317;35538;3967"
"Totaal;""Zuidoost-Noord-Brabant (CR)"";""2017"";338188;201670;132683;95383;37300;3835"
"Totaal;""Zuidoost-Noord-Brabant (CR)"";""2018"";341477;205626;132840;94793;38047;3011"
"Totaal;""Zuidoost-Noord-Brabant (CR)"";""2019"";345866;209147;136108;97079;39029;611"
"Totaal;""Zuidoost-Noord-Brabant (CR)"";""2020"";349725;210599;138500;97754;40746;626"
"Totaal;""Noord-Limburg (CR)"";""2012"";120046;78255;41032;30255;10777;759"
"Totaal;""Noord-Limburg (CR)"";""2013"";120910;78531;41821;30320;11501;558"
"Totaal;""Noord-Limburg (CR)"";""2014"";121927;79166;41886;30442;11444;875"
"Totaal;""Noord-Limburg (CR)"";""2015"";122612;79299;42429;30585;11844;884"
"Totaal;""Noord-Limburg (CR)"";""2016"";122881;79605;42491;30412;12079;785"
"Totaal;""Noord-Limburg (CR)"";""2017"";123594;79784;43112;30528;12584;698"
"Totaal;""Noord-Limburg (CR)"";""2018"";124132;80880;42573;29872;12701;679"
"Totaal;""Noord-Limburg (CR)"";""2019"";124820;82335;42193;30347;11846;292"
"Totaal;""Noord-Limburg (CR)"";""2020"";125553;82731;42491;30320;12171;331"
"Totaal;""Midden-Limburg (CR)"";""2012"";103335;69623;33084;23330;9754;628"
"Totaal;""Midden-Limburg (CR)"";""2013"";104255;70044;33745;23523;10222;466"
"Totaal;""Midden-Limburg (CR)"";""2014"";106057;70877;33754;23582;10172;1426"
"Totaal;""Midden-Limburg (CR)"";""2015"";106511;70680;34291;23557;10734;1540"
"Totaal;""Midden-Limburg (CR)"";""2016"";106954;70634;34808;23505;11303;1512"
"Totaal;""Midden-Limburg (CR)"";""2017"";107065;70805;34965;23455;11510;1295"
"Totaal;""Midden-Limburg (CR)"";""2018"";107643;71770;34579;23016;11563;1294"
"Totaal;""Midden-Limburg (CR)"";""2019"";108156;72929;34912;23690;11222;315"
"Totaal;""Midden-Limburg (CR)"";""2020"";108974;73394;35188;23513;11675;392"
"Totaal;""Zuid-Limburg (CR)"";""2012"";286644;159793;123058;84863;38195;3793"
"Totaal;""Zuid-Limburg (CR)"";""2013"";288863;160110;125980;85561;40419;2773"
"Totaal;""Zuid-Limburg (CR)"";""2014"";292680;160817;127696;86500;41196;4167"
"Totaal;""Zuid-Limburg (CR)"";""2015"";294245;160309;129950;87189;42761;3986"
"Totaal;""Zuid-Limburg (CR)"";""2016"";294798;160387;130197;86586;43611;4214"
"Totaal;""Zuid-Limburg (CR)"";""2017"";296438;160542;131561;86331;45230;4335"
"Totaal;""Zuid-Limburg (CR)"";""2018"";297526;163212;129890;85506;44384;4424"
"Totaal;""Zuid-Limburg (CR)"";""2019"";298106;166052;130338;85905;44433;1716"
"Totaal;""Zuid-Limburg (CR)"";""2020"";298704;166009;130969;85865;45104;1726"
"Totaal;""Flevoland (CR)"";""2012"";158061;101537;55003;43040;11963;1521"
"Totaal;""Flevoland (CR)"";""2013"";159496;102522;56134;42861;13273;840"
"Totaal;""Flevoland (CR)"";""2014"";161512;103306;57343;43016;14327;863"
"Totaal;""Flevoland (CR)"";""2015"";162731;104143;57660;43158;14502;928"
"Totaal;""Flevoland (CR)"";""2016"";162918;104778;57357;43306;14051;783"
"Totaal;""Flevoland (CR)"";""2017"";164229;105313;58212;43218;14994;704"
"Totaal;""Flevoland (CR)"";""2018"";166487;106430;59225;43262;15963;832"
"Totaal;""Flevoland (CR)"";""2019"";169237;110598;58364;44594;13770;275"
"Totaal;""Flevoland (CR)"";""2020"";172227;112198;59731;45006;14725;298"
"Bewoonde woningen;""Oost-Groningen (CR)"";""2012"";64422;42213;21997;17535;4462;212"
"Bewoonde woningen;""Oost-Groningen (CR)"";""2013"";64777;42322;22373;17582;4791;82"
"Bewoonde woningen;""Oost-Groningen (CR)"";""2014"";65357;42201;22817;17678;5139;339"
"Bewoonde woningen;""Oost-Groningen (CR)"";""2015"";65595;42221;23065;17894;5171;309"
"Bewoonde woningen;""Oost-Groningen (CR)"";""2016"";65784;42095;23337;17781;5556;352"
"Bewoonde woningen;""Oost-Groningen (CR)"";""2017"";65965;42156;23470;17753;5717;339"
"Bewoonde woningen;""Oost-Groningen (CR)"";""2018"";60931;39269;21284;16279;5005;378"
"Bewoonde woningen;""Oost-Groningen (CR)"";""2019"";61129;39760;21262;16437;4825;107"
"Bewoonde woningen;""Oost-Groningen (CR)"";""2020"";61333;39783;21428;16419;5009;122"
"Bewoonde woningen;""Delfzijl en omgeving (CR)"";""2012"";20896;12815;8073;6718;1355;8"
"Bewoonde woningen;""Delfzijl en omgeving (CR)"";""2013"";20948;12821;8115;6714;1401;12"
"Bewoonde woningen;""Delfzijl en omgeving (CR)"";""2014"";21231;12806;8418;6840;1578;7"
"Bewoonde woningen;""Delfzijl en omgeving (CR)"";""2015"";21291;12795;8489;6844;1645;7"
"Bewoonde woningen;""Delfzijl en omgeving (CR)"";""2016"";21285;13018;8168;6790;1378;99"
"Bewoonde woningen;""Delfzijl en omgeving (CR)"";""2017"";21234;12964;8171;6733;1438;99"
"Bewoonde woningen;""Delfzijl en omgeving (CR)"";""2018"";21268;12991;8251;6752;1499;26"
"Bewoonde woningen;""Delfzijl en omgeving (CR)"";""2019"";21235;13028;8177;6702;1475;30"
"Bewoonde woningen;""Delfzijl en omgeving (CR)"";""2020"";21270;12971;8283;6701;1582;16"
"Bewoonde woningen;""Overig Groningen (CR)"";""2012"";165628;87818;76385;53266;23119;1425"
"Bewoonde woningen;""Overig Groningen (CR)"";""2013"";167824;88344;78576;54004;24572;904"
"Bewoonde woningen;""Overig Groningen (CR)"";""2014"";170706;88719;80982;54551;26431;1005"
"Bewoonde woningen;""Overig Groningen (CR)"";""2015"";172572;89100;82741;57001;25740;731"
"Bewoonde woningen;""Overig Groningen (CR)"";""2016"";174572;89753;83984;56733;27251;835"
"Bewoonde woningen;""Overig Groningen (CR)"";""2017"";176719;90589;85458;56607;28851;672"
"Bewoonde woningen;""Overig Groningen (CR)"";""2018"";182424;95663;85678;56407;29271;1083"
"Bewoonde woningen;""Overig Groningen (CR)"";""2019"";184372;97011;86954;56827;30127;407"
"Bewoonde woningen;""Overig Groningen (CR)"";""2020"";186571;97393;88352;56575;31777;826"
"Bewoonde woningen;""Noord-Friesland (CR)"";""2012"";140410;86762;53256;40630;12626;392"
"Bewoonde woningen;""Noord-Friesland (CR)"";""2013"";141942;87469;54128;40712;13416;345"
"Bewoonde woningen;""Noord-Friesland (CR)"";""2014"";140352;85481;53936;39587;14349;935"
"Bewoonde woningen;""Noord-Friesland (CR)"";""2015"";141416;85656;54705;40225;14480;1055"
"Bewoonde woningen;""Noord-Friesland (CR)"";""2016"";142223;85966;55166;39503;15663;1091"
"Bewoonde woningen;""Noord-Friesland (CR)"";""2017"";143093;86325;55692;39306;16386;1076"
"Bewoonde woningen;""Noord-Friesland (CR)"";""2018"";141972;85804;54949;39111;15838;1219"
"Bewoonde woningen;""Noord-Friesland (CR)"";""2019"";143041;87250;55322;39650;15672;469"
"Bewoonde woningen;""Noord-Friesland (CR)"";""2020"";144618;87549;56625;39437;17188;444"
"Bewoonde woningen;""Zuidwest-Friesland (CR)"";""2012"";43571;28080;15385;12792;2593;106"
"Bewoonde woningen;""Zuidwest-Friesland (CR)"";""2013"";44746;28979;15660;12810;2850;107"
"Bewoonde woningen;""Zuidwest-Friesland (CR)"";""2014"";56904;37092;19602;15793;3809;210"
"Bewoonde woningen;""Zuidwest-Friesland (CR)"";""2015"";57683;37386;19701;15880;3821;596"
"Bewoonde woningen;""Zuidwest-Friesland (CR)"";""2016"";57959;37581;19707;15702;4005;671"
"Bewoonde woningen;""Zuidwest-Friesland (CR)"";""2017"";58265;37883;19689;15579;4110;693"
"Bewoonde woningen;""Zuidwest-Friesland (CR)"";""2018"";60922;40416;19792;15955;3837;714"
"Bewoonde woningen;""Zuidwest-Friesland (CR)"";""2019"";61416;41112;20222;16340;3882;82"
"Bewoonde woningen;""Zuidwest-Friesland (CR)"";""2020"";61696;41424;20217;16196;4021;55"
"Bewoonde woningen;""Zuidoost-Friesland (CR)"";""2012"";86470;54740;31448;25837;5611;282"
"Bewoonde woningen;""Zuidoost-Friesland (CR)"";""2013"";86930;55124;31639;25767;5872;167"
"Bewoonde woningen;""Zuidoost-Friesland (CR)"";""2014"";79669;49636;29438;23699;5739;595"
"Bewoonde woningen;""Zuidoost-Friesland (CR)"";""2015"";80030;49878;29568;23801;5767;584"
"Bewoonde woningen;""Zuidoost-Friesland (CR)"";""2016"";80460;50065;29650;23554;6096;745"
"Bewoonde woningen;""Zuidoost-Friesland (CR)"";""2017"";80836;50386;29685;23457;6228;765"
"Bewoonde woningen;""Zuidoost-Friesland (CR)"";""2018"";81335;51155;29364;23325;6039;816"
"Bewoonde woningen;""Zuidoost-Friesland (CR)"";""2019"";81679;52185;29301;23348;5953;193"
"Bewoonde woningen;""Zuidoost-Friesland (CR)"";""2020"";82239;52441;29603;23380;6223;195"
"Bewoonde woningen;""Noord-Drenthe (CR)"";""2012"";78731;53256;25175;18655;6520;300"
"Bewoonde woningen;""Noord-Drenthe (CR)"";""2013"";78961;53522;25289;18597;6692;150"
"Bewoonde woningen;""Noord-Drenthe (CR)"";""2014"";79764;53745;25691;18524;7167;328"
"Bewoonde woningen;""Noord-Drenthe (CR)"";""2015"";80088;53931;25786;18574;7212;371"
"Bewoonde woningen;""Noord-Drenthe (CR)"";""2016"";80595;54267;25853;18808;7045;475"
"Bewoonde woningen;""Noord-Drenthe (CR)"";""2017"";81357;54577;26188;18851;7337;592"
"Bewoonde woningen;""Noord-Drenthe (CR)"";""2018"";81941;55527;25792;18624;7168;622"
"Bewoonde woningen;""Noord-Drenthe (CR)"";""2019"";82627;56824;25521;18837;6684;282"
"Bewoonde woningen;""Noord-Drenthe (CR)"";""2020"";83503;57274;25939;18905;7034;290"
"Bewoonde woningen;""Zuidoost-Drenthe (CR)"";""2012"";70884;46678;23780;19070;4710;426"
"Bewoonde woningen;""Zuidoost-Drenthe (CR)"";""2013"";70868;46751;23803;18893;4910;314"
"Bewoonde woningen;""Zuidoost-Drenthe (CR)"";""2014"";71653;46990;24188;18829;5359;475"
"Bewoonde woningen;""Zuidoost-Drenthe (CR)"";""2015"";71875;47005;24446;18962;5484;424"
"Bewoonde woningen;""Zuidoost-Drenthe (CR)"";""2016"";72106;47390;24287;18780;5507;429"
"Bewoonde woningen;""Zuidoost-Drenthe (CR)"";""2017"";72288;47370;24477;18868;5609;441"
"Bewoonde woningen;""Zuidoost-Drenthe (CR)"";""2018"";72761;47538;24755;18948;5807;468"
"Bewoonde woningen;""Zuidoost-Drenthe (CR)"";""2019"";72997;48334;24590;19301;5289;73"
"Bewoonde woningen;""Zuidoost-Drenthe (CR)"";""2020"";73398;48564;24755;19255;5500;79"
"Bewoonde woningen;""Zuidwest-Drenthe (CR)"";""2012"";52913;34574;18298;14553;3745;41"
"Bewoonde woningen;""Zuidwest-Drenthe (CR)"";""2013"";53567;35015;18471;14480;3991;81"
"Bewoonde woningen;""Zuidwest-Drenthe (CR)"";""2014"";54642;35388;18831;14542;4289;423"
"Bewoonde woningen;""Zuidwest-Drenthe (CR)"";""2015"";55084;35574;19105;14392;4713;405"
"Bewoonde woningen;""Zuidwest-Drenthe (CR)"";""2016"";55438;35833;19000;14639;4361;605"
"Bewoonde woningen;""Zuidwest-Drenthe (CR)"";""2017"";55951;36056;19240;14588;4652;655"
"Bewoonde woningen;""Zuidwest-Drenthe (CR)"";""2018"";56569;36734;19146;14786;4360;689"
"Bewoonde woningen;""Zuidwest-Drenthe (CR)"";""2019"";57100;37415;19602;15244;4358;83"
"Bewoonde woningen;""Zuidwest-Drenthe (CR)"";""2020"";57504;37680;19653;14921;4732;171"
"Bewoonde woningen;""Noord-Overijssel (CR)"";""2012"";140984;88358;52055;38224;13831;571"
"Bewoonde woningen;""Noord-Overijssel (CR)"";""2013"";142572;89329;52800;38385;14415;443"
"Bewoonde woningen;""Noord-Overijssel (CR)"";""2014"";143462;89909;53131;38371;14760;422"
"Bewoonde woningen;""Noord-Overijssel (CR)"";""2015"";144909;90610;53796;38892;14904;503"
"Bewoonde woningen;""Noord-Overijssel (CR)"";""2016"";146887;91337;54897;38966;15931;653"
"Bewoonde woningen;""Noord-Overijssel (CR)"";""2017"";148476;92317;55600;39062;16538;559"
"Bewoonde woningen;""Noord-Overijssel (CR)"";""2018"";150194;94478;55057;39418;15639;659"
"Bewoonde woningen;""Noord-Overijssel (CR)"";""2019"";152261;96958;54806;40052;14754;497"
"Bewoonde woningen;""Noord-Overijssel (CR)"";""2020"";154256;98050;55757;40316;15441;449"
"Bewoonde woningen;""Zuidwest-Overijssel (CR)"";""2012"";61704;37368;24186;18345;5841;150"
"Bewoonde woningen;""Zuidwest-Overijssel (CR)"";""2013"";61851;37610;24172;18126;6046;69"
"Bewoonde woningen;""Zuidwest-Overijssel (CR)"";""2014"";61862;37888;23919;17701;6218;55"
"Bewoonde woningen;""Zuidwest-Overijssel (CR)"";""2015"";62630;38138;24444;18077;6367;48"
"Bewoonde woningen;""Zuidwest-Overijssel (CR)"";""2016"";63504;38609;24849;18243;6606;46"
"Bewoonde woningen;""Zuidwest-Overijssel (CR)"";""2017"";65117;38794;26233;18690;7543;90"
"Bewoonde woningen;""Zuidwest-Overijssel (CR)"";""2018"";65726;39588;26063;18606;7457;75"
"Bewoonde woningen;""Zuidwest-Overijssel (CR)"";""2019"";66419;40506;25844;18614;7230;69"
"Bewoonde woningen;""Zuidwest-Overijssel (CR)"";""2020"";67289;40785;26293;18795;7498;211"
"Bewoonde woningen;""Twente (CR)"";""2012"";254499;153164;99433;77725;21708;1902"
"Bewoonde woningen;""Twente (CR)"";""2013"";256767;154405;101020;77795;23225;1342"
"Bewoonde woningen;""Twente (CR)"";""2014"";259114;154917;102485;77588;24897;1712"
"Bewoonde woningen;""Twente (CR)"";""2015"";260478;155923;102833;79647;23186;1722"
"Bewoonde woningen;""Twente (CR)"";""2016"";261904;156628;103121;77597;25524;2155"
"Bewoonde woningen;""Twente (CR)"";""2017"";263157;156665;104396;78401;25995;2096"
"Bewoonde woningen;""Twente (CR)"";""2018"";264192;160607;101653;77402;24251;1932"
"Bewoonde woningen;""Twente (CR)"";""2019"";266238;162207;103670;77543;26127;361"
"Bewoonde woningen;""Twente (CR)"";""2020"";268608;163264;104819;77453;27366;525"
"Bewoonde woningen;""Veluwe (CR)"";""2012"";251926;160498;89281;67627;21654;2147"
"Bewoonde woningen;""Veluwe (CR)"";""2013"";258466;162597;93558;68528;25030;2311"
"Bewoonde woningen;""Veluwe (CR)"";""2014"";262891;163919;96446;68402;28044;2526"
"Bewoonde woningen;""Veluwe (CR)"";""2015"";265989;165743;97790;70964;26826;2456"
"Bewoonde woningen;""Veluwe (CR)"";""2016"";269174;168226;98481;70630;27851;2467"
"Bewoonde woningen;""Veluwe (CR)"";""2017"";270157;169649;98611;69630;28981;1897"
"Bewoonde woningen;""Veluwe (CR)"";""2018"";273468;173490;97718;70655;27063;2260"
"Bewoonde woningen;""Veluwe (CR)"";""2019"";277100;176890;99608;72621;26987;602"
"Bewoonde woningen;""Veluwe (CR)"";""2020"";281318;179504;101285;73058;28227;529"
"Bewoonde woningen;""Achterhoek (CR)"";""2012"";162254;106547;54942;40039;14903;765"
"Bewoonde woningen;""Achterhoek (CR)"";""2013"";164781;107874;56222;40396;15826;685"
"Bewoonde woningen;""Achterhoek (CR)"";""2014"";166698;108692;57157;40277;16880;849"
"Bewoonde woningen;""Achterhoek (CR)"";""2015"";168073;109430;57798;40813;16985;845"
"Bewoonde woningen;""Achterhoek (CR)"";""2016"";169343;110259;58161;41195;16966;923"
"Bewoonde woningen;""Achterhoek (CR)"";""2017"";170381;110868;58556;41186;17370;957"
"Bewoonde woningen;""Achterhoek (CR)"";""2018"";171524;113086;57428;41158;16270;1010"
"Bewoonde woningen;""Achterhoek (CR)"";""2019"";172669;114617;57786;41859;15927;266"
"Bewoonde woningen;""Achterhoek (CR)"";""2020"";173626;115243;58179;41886;16293;204"
"Bewoonde woningen;""Arnhem/Nijmegen (CR)"";""2012"";299221;164546;132673;98132;34541;2002"
"Bewoonde woningen;""Arnhem/Nijmegen (CR)"";""2013"";304178;166284;135364;99046;36318;2530"
"Bewoonde woningen;""Arnhem/Nijmegen (CR)"";""2014"";307801;166924;137792;99212;38580;3085"
"Bewoonde woningen;""Arnhem/Nijmegen (CR)"";""2015"";311608;167945;141906;102631;39275;1757"
"Bewoonde woningen;""Arnhem/Nijmegen (CR)"";""2016"";314646;169832;142996;103088;39908;1818"
"Bewoonde woningen;""Arnhem/Nijmegen (CR)"";""2017"";315983;170811;143237;101341;41896;1935"
"Bewoonde woningen;""Arnhem/Nijmegen (CR)"";""2018"";319946;175423;142466;101940;40526;2057"
"Bewoonde woningen;""Arnhem/Nijmegen (CR)"";""2019"";323782;179374;143017;102522;40495;1391"
"Bewoonde woningen;""Arnhem/Nijmegen (CR)"";""2020"";327212;180802;144528;102757;41771;1882"
"Bewoonde woningen;""Zuidwest-Gelderland (CR)"";""2012"";88857;58254;30281;24352;5929;322"
"Bewoonde woningen;""Zuidwest-Gelderland (CR)"";""2013"";89949;59031;30542;24754;5788;376"
"Bewoonde woningen;""Zuidwest-Gelderland (CR)"";""2014"";91176;59700;31020;24770;6250;456"
"Bewoonde woningen;""Zuidwest-Gelderland (CR)"";""2015"";91925;60338;31142;24823;6319;445"
"Bewoonde woningen;""Zuidwest-Gelderland (CR)"";""2016"";93041;61569;30958;24893;6065;514"
"Bewoonde woningen;""Zuidwest-Gelderland (CR)"";""2017"";94037;61862;31673;24907;6766;502"
"Bewoonde woningen;""Zuidwest-Gelderland (CR)"";""2018"";95144;62881;31806;25009;6797;457"
"Bewoonde woningen;""Zuidwest-Gelderland (CR)"";""2019"";96272;64890;31084;25011;6073;298"
"Bewoonde woningen;""Zuidwest-Gelderland (CR)"";""2020"";97595;65890;31382;24933;6449;323"
"Bewoonde woningen;""Utrecht (CR)"";""2012"";501543;293295;203033;148846;54187;5215"
"Bewoonde woningen;""Utrecht (CR)"";""2013"";508502;297551;208295;149581;58714;2656"
"Bewoonde woningen;""Utrecht (CR)"";""2014"";514964;299467;212207;148548;63659;3290"
"Bewoonde woningen;""Utrecht (CR)"";""2015"";520785;302136;214652;151432;63220;3997"
"Bewoonde woningen;""Utrecht (CR)"";""2016"";525923;305558;216659;150260;66399;3706"
"Bewoonde woningen;""Utrecht (CR)"";""2017"";531228;309341;217972;149483;68489;3915"
"Bewoonde woningen;""Utrecht (CR)"";""2018"";535827;312367;219923;150081;69842;3537"
"Bewoonde woningen;""Utrecht (CR)"";""2019"";556706;330640;224937;156267;68670;1129"
"Bewoonde woningen;""Utrecht (CR)"";""2020"";564280;333537;229131;156535;72596;1612"
"Bewoonde woningen;""Kop van Noord-Holland (CR)"";""2012"";153310;99876;53146;42472;10674;288"
"Bewoonde woningen;""Kop van Noord-Holland (CR)"";""2013"";154245;100488;53511;42226;11285;246"
"Bewoonde woningen;""Kop van Noord-Holland (CR)"";""2014"";156443;101075;54580;41896;12684;788"
"Bewoonde woningen;""Kop van Noord-Holland (CR)"";""2015"";157786;101901;54903;41931;12972;982"
"Bewoonde woningen;""Kop van Noord-Holland (CR)"";""2016"";158708;102709;55129;41662;13467;870"
"Bewoonde woningen;""Kop van Noord-Holland (CR)"";""2017"";159754;103439;55465;41731;13734;850"
"Bewoonde woningen;""Kop van Noord-Holland (CR)"";""2018"";160670;105043;54714;39538;15176;913"
"Bewoonde woningen;""Kop van Noord-Holland (CR)"";""2019"";161675;107166;54064;41934;12130;445"
"Bewoonde woningen;""Kop van Noord-Holland (CR)"";""2020"";162769;107817;54508;41737;12771;444"
"Bewoonde woningen;""Alkmaar en omgeving (CR)"";""2012"";97661;63941;33587;25092;8495;133"
"Bewoonde woningen;""Alkmaar en omgeving (CR)"";""2013"";98173;64359;33708;24451;9257;106"
"Bewoonde woningen;""Alkmaar en omgeving (CR)"";""2014"";100169;64823;34650;25568;9082;696"
"Bewoonde woningen;""Alkmaar en omgeving (CR)"";""2015"";103613;66995;35881;26094;9787;737"
"Bewoonde woningen;""Alkmaar en omgeving (CR)"";""2016"";104499;67387;36373;26180;10193;739"
"Bewoonde woningen;""Alkmaar en omgeving (CR)"";""2017"";105473;67723;36965;26168;10797;785"
"Bewoonde woningen;""Alkmaar en omgeving (CR)"";""2018"";106595;69401;36427;26313;10114;767"
"Bewoonde woningen;""Alkmaar en omgeving (CR)"";""2019"";107495;70789;36633;26685;9948;73"
"Bewoonde woningen;""Alkmaar en omgeving (CR)"";""2020"";108579;71153;37343;26855;10488;83"
"Bewoonde woningen;""IJmond (CR)"";""2012"";81651;48959;32532;26673;5859;160"
"Bewoonde woningen;""IJmond (CR)"";""2013"";82265;49256;32908;26653;6255;101"
"Bewoonde woningen;""IJmond (CR)"";""2014"";83258;49561;33517;26681;6836;180"
"Bewoonde woningen;""IJmond (CR)"";""2015"";83808;49884;33747;26770;6977;177"
"Bewoonde woningen;""IJmond (CR)"";""2016"";84398;50311;33893;26607;7286;194"
"Bewoonde woningen;""IJmond (CR)"";""2017"";85383;50922;34180;26604;7576;281"
"Bewoonde woningen;""IJmond (CR)"";""2018"";85761;52364;33194;26484;6710;203"
"Bewoonde woningen;""IJmond (CR)"";""2019"";86210;53102;32874;27137;5737;234"
"Bewoonde woningen;""IJmond (CR)"";""2020"";86883;53587;33098;27038;6060;198"
"Bewoonde woningen;""Agglomeratie Haarlem (CR)"";""2012"";97773;55060;41786;30049;11737;927"
"Bewoonde woningen;""Agglomeratie Haarlem (CR)"";""2013"";98776;55514;42700;30219;12481;562"
"Bewoonde woningen;""Agglomeratie Haarlem (CR)"";""2014"";100106;56079;43555;30030;13525;472"
"Bewoonde woningen;""Agglomeratie Haarlem (CR)"";""2015"";101161;56750;44077;30079;13998;334"
"Bewoonde woningen;""Agglomeratie Haarlem (CR)"";""2016"";102027;57463;44187;29917;14270;377"
"Bewoonde woningen;""Agglomeratie Haarlem (CR)"";""2017"";102698;57997;44181;29662;14519;520"
"Bewoonde woningen;""Agglomeratie Haarlem (CR)"";""2018"";103458;59094;43810;29506;14304;554"
"Bewoonde woningen;""Agglomeratie Haarlem (CR)"";""2019"";102069;58324;43352;29555;13797;393"
"Bewoonde woningen;""Agglomeratie Haarlem (CR)"";""2020"";103051;58542;44129;29530;14599;380"
"Bewoonde woningen;""Zaanstreek (CR)"";""2012"";68687;36676;31982;27692;4290;29"
"Bewoonde woningen;""Zaanstreek (CR)"";""2013"";69693;37284;32380;27792;4588;29"
"Bewoonde woningen;""Zaanstreek (CR)"";""2014"";70586;37844;32630;27541;5089;112"
"Bewoonde woningen;""Zaanstreek (CR)"";""2015"";70952;38256;32664;27404;5260;32"
"Bewoonde woningen;""Zaanstreek (CR)"";""2016"";71561;38771;32635;27292;5343;155"
"Bewoonde woningen;""Zaanstreek (CR)"";""2017"";72288;39236;32892;27238;5654;160"
"Bewoonde woningen;""Zaanstreek (CR)"";""2018"";72820;40401;32227;27139;5088;192"
"Bewoonde woningen;""Zaanstreek (CR)"";""2019"";73241;40989;32159;27265;4894;93"
"Bewoonde woningen;""Zaanstreek (CR)"";""2020"";73584;41202;32285;27076;5209;97"
"Bewoonde woningen;""Groot-Amsterdam (CR)"";""2012"";580903;227504;347200;234797;112403;6199"
"Bewoonde woningen;""Groot-Amsterdam (CR)"";""2013"";585912;231731;349386;233509;115877;4795"
