"Status van bewoning;""Regio's"";""Perioden"";""Totale woningvoorraad (aantal)"";""Koopwoningen (aantal)"";""Huurwoningen/Totaal huurwoningen (aantal)"";""Huurwoningen/Eigendom woningcorporatie (aantal)"";""Huurwoningen/Eigendom overige verhuurders (aantal)"";""Eigendom onbekend (aantal)"""
"Totaal;""Zuidoost-Drenthe (CR)"";""2015"";76242;48681;26612;19627;6985;949"
"Totaal;""Zuidoost-Drenthe (CR)"";""2016"";76174;49015;26329;19461;6868;830"
"Totaal;""Zuidoost-Drenthe (CR)"";""2017"";75644;48787;26099;19445;6654;758"
"Totaal;""Zuidoost-Drenthe (CR)"";""2018"";76009;48865;26394;19522;6872;750"
"Totaal;""Zuidoost-Drenthe (CR)"";""2019"";76353;49797;26446;20190;6256;110"
"Totaal;""Zuidoost-Drenthe (CR)"";""2020"";76237;49773;26357;20173;6184;107"
"Totaal;""Zuidwest-Drenthe (CR)"";""2012"";55291;35826;19269;14979;4290;196"
"Totaal;""Zuidwest-Drenthe (CR)"";""2013"";55918;36229;19452;14908;4544;237"
"Totaal;""Zuidwest-Drenthe (CR)"";""2014"";57534;36559;20138;14965;5173;837"
"Totaal;""Zuidwest-Drenthe (CR)"";""2015"";57794;36627;20441;14921;5520;726"
"Totaal;""Zuidwest-Drenthe (CR)"";""2016"";58086;36887;20199;15043;5156;1000"
"Totaal;""Zuidwest-Drenthe (CR)"";""2017"";58551;37073;20478;15013;5465;1000"
"Totaal;""Zuidwest-Drenthe (CR)"";""2018"";59056;37703;20384;15210;5174;969"
"Totaal;""Zuidwest-Drenthe (CR)"";""2019"";59585;38401;21049;15992;5057;135"
"Totaal;""Zuidwest-Drenthe (CR)"";""2020"";59986;38647;21100;15536;5564;239"
"Totaal;""Noord-Overijssel (CR)"";""2012"";149694;92364;55842;39581;16261;1488"
"Totaal;""Noord-Overijssel (CR)"";""2013"";150741;93098;56446;39799;16647;1197"
"Totaal;""Noord-Overijssel (CR)"";""2014"";150491;92933;56383;39734;16649;1175"
"Totaal;""Noord-Overijssel (CR)"";""2015"";151497;93679;56722;40042;16680;1096"
"Totaal;""Noord-Overijssel (CR)"";""2016"";153151;94247;57755;40003;17752;1149"
"Totaal;""Noord-Overijssel (CR)"";""2017"";154596;95072;58475;40122;18353;1049"
"Totaal;""Noord-Overijssel (CR)"";""2018"";156175;97110;57983;40465;17518;1082"
"Totaal;""Noord-Overijssel (CR)"";""2019"";158322;99893;57810;41251;16559;619"
"Totaal;""Noord-Overijssel (CR)"";""2020"";160274;100924;58769;41463;17306;581"
