"Perioden;""Regio van vestiging"";""Regio van vertrek"";""Tussen gemeenten verhuisde personen (aantal)"""
"2011;""Oost-Groningen (CR)"";""Zuidwest-Drenthe (CR)"";77"
"2012;""Oost-Groningen (CR)"";""Zuidwest-Drenthe (CR)"";51"
"2013;""Oost-Groningen (CR)"";""Zuidwest-Drenthe (CR)"";48"
"2014;""Oost-Groningen (CR)"";""Zuidwest-Drenthe (CR)"";53"
"2015;""Oost-Groningen (CR)"";""Zuidwest-Drenthe (CR)"";61"
"2016;""Oost-Groningen (CR)"";""Zuidwest-Drenthe (CR)"";73"
"2017;""Oost-Groningen (CR)"";""Zuidwest-Drenthe (CR)"";67"
"2018;""Oost-Groningen (CR)"";""Zuidwest-Drenthe (CR)"";40"
"2019;""Oost-Groningen (CR)"";""Zuidwest-Drenthe (CR)"";54"
"2020;""Oost-Groningen (CR)"";""Zuidwest-Drenthe (CR)"";86"
"2011;""Oost-Groningen (CR)"";""Noord-Overijssel (CR)"";54"
"2012;""Oost-Groningen (CR)"";""Noord-Overijssel (CR)"";55"
"2013;""Oost-Groningen (CR)"";""Noord-Overijssel (CR)"";63"
"2014;""Oost-Groningen (CR)"";""Noord-Overijssel (CR)"";65"
"2015;""Oost-Groningen (CR)"";""Noord-Overijssel (CR)"";80"
"2016;""Oost-Groningen (CR)"";""Noord-Overijssel (CR)"";88"
"2017;""Oost-Groningen (CR)"";""Noord-Overijssel (CR)"";69"
"2018;""Oost-Groningen (CR)"";""Noord-Overijssel (CR)"";70"
"2019;""Oost-Groningen (CR)"";""Noord-Overijssel (CR)"";79"
"2020;""Oost-Groningen (CR)"";""Noord-Overijssel (CR)"";118"
"2011;""Oost-Groningen (CR)"";""Zuidwest-Overijssel (CR)"";34"
"2012;""Oost-Groningen (CR)"";""Zuidwest-Overijssel (CR)"";30"
"2013;""Oost-Groningen (CR)"";""Zuidwest-Overijssel (CR)"";26"
"2014;""Oost-Groningen (CR)"";""Zuidwest-Overijssel (CR)"";17"
"2015;""Oost-Groningen (CR)"";""Zuidwest-Overijssel (CR)"";25"
"2016;""Oost-Groningen (CR)"";""Zuidwest-Overijssel (CR)"";12"
"2017;""Oost-Groningen (CR)"";""Zuidwest-Overijssel (CR)"";17"
"2018;""Oost-Groningen (CR)"";""Zuidwest-Overijssel (CR)"";12"
"2019;""Oost-Groningen (CR)"";""Zuidwest-Overijssel (CR)"";21"
"2020;""Oost-Groningen (CR)"";""Zuidwest-Overijssel (CR)"";17"
"2011;""Oost-Groningen (CR)"";""Twente (CR)"";70"
"2012;""Oost-Groningen (CR)"";""Twente (CR)"";75"
"2013;""Oost-Groningen (CR)"";""Twente (CR)"";50"
"2014;""Oost-Groningen (CR)"";""Twente (CR)"";60"
"2015;""Oost-Groningen (CR)"";""Twente (CR)"";43"
"2016;""Oost-Groningen (CR)"";""Twente (CR)"";60"
"2017;""Oost-Groningen (CR)"";""Twente (CR)"";77"
"2018;""Oost-Groningen (CR)"";""Twente (CR)"";55"
"2019;""Oost-Groningen (CR)"";""Twente (CR)"";84"
"2020;""Oost-Groningen (CR)"";""Twente (CR)"";57"
"2011;""Oost-Groningen (CR)"";""Veluwe (CR)"";84"
"2012;""Oost-Groningen (CR)"";""Veluwe (CR)"";65"
"2013;""Oost-Groningen (CR)"";""Veluwe (CR)"";56"
"2014;""Oost-Groningen (CR)"";""Veluwe (CR)"";49"
"2015;""Oost-Groningen (CR)"";""Veluwe (CR)"";50"
"2016;""Oost-Groningen (CR)"";""Veluwe (CR)"";66"
"2017;""Oost-Groningen (CR)"";""Veluwe (CR)"";92"
"2018;""Oost-Groningen (CR)"";""Veluwe (CR)"";62"
"2019;""Oost-Groningen (CR)"";""Veluwe (CR)"";102"
"2020;""Oost-Groningen (CR)"";""Veluwe (CR)"";173"
"2011;""Oost-Groningen (CR)"";""Achterhoek (CR)"";32"
"2012;""Oost-Groningen (CR)"";""Achterhoek (CR)"";17"
"2013;""Oost-Groningen (CR)"";""Achterhoek (CR)"";27"
"2014;""Oost-Groningen (CR)"";""Achterhoek (CR)"";34"
"2015;""Oost-Groningen (CR)"";""Achterhoek (CR)"";21"
"2016;""Oost-Groningen (CR)"";""Achterhoek (CR)"";87"
"2017;""Oost-Groningen (CR)"";""Achterhoek (CR)"";28"
"2018;""Oost-Groningen (CR)"";""Achterhoek (CR)"";34"
"2019;""Oost-Groningen (CR)"";""Achterhoek (CR)"";38"
"2020;""Oost-Groningen (CR)"";""Achterhoek (CR)"";50"
"2011;""Oost-Groningen (CR)"";""Arnhem/Nijmegen (CR)"";50"
"2012;""Oost-Groningen (CR)"";""Arnhem/Nijmegen (CR)"";50"
"2013;""Oost-Groningen (CR)"";""Arnhem/Nijmegen (CR)"";36"
"2014;""Oost-Groningen (CR)"";""Arnhem/Nijmegen (CR)"";31"
"2015;""Oost-Groningen (CR)"";""Arnhem/Nijmegen (CR)"";40"
"2016;""Oost-Groningen (CR)"";""Arnhem/Nijmegen (CR)"";71"
"2017;""Oost-Groningen (CR)"";""Arnhem/Nijmegen (CR)"";53"
"2018;""Oost-Groningen (CR)"";""Arnhem/Nijmegen (CR)"";46"
"2019;""Oost-Groningen (CR)"";""Arnhem/Nijmegen (CR)"";53"
"2020;""Oost-Groningen (CR)"";""Arnhem/Nijmegen (CR)"";62"
"2011;""Oost-Groningen (CR)"";""Zuidwest-Gelderland (CR)"";18"
"2012;""Oost-Groningen (CR)"";""Zuidwest-Gelderland (CR)"";8"
"2013;""Oost-Groningen (CR)"";""Zuidwest-Gelderland (CR)"";13"
"2014;""Oost-Groningen (CR)"";""Zuidwest-Gelderland (CR)"";10"
"2015;""Oost-Groningen (CR)"";""Zuidwest-Gelderland (CR)"";7"
"2016;""Oost-Groningen (CR)"";""Zuidwest-Gelderland (CR)"";10"
"2017;""Oost-Groningen (CR)"";""Zuidwest-Gelderland (CR)"";32"
"2018;""Oost-Groningen (CR)"";""Zuidwest-Gelderland (CR)"";12"
"2019;""Oost-Groningen (CR)"";""Zuidwest-Gelderland (CR)"";18"
"2020;""Oost-Groningen (CR)"";""Zuidwest-Gelderland (CR)"";13"
"2011;""Oost-Groningen (CR)"";""Utrecht (CR)"";128"
"2012;""Oost-Groningen (CR)"";""Utrecht (CR)"";102"
"2013;""Oost-Groningen (CR)"";""Utrecht (CR)"";106"
"2014;""Oost-Groningen (CR)"";""Utrecht (CR)"";93"
"2015;""Oost-Groningen (CR)"";""Utrecht (CR)"";102"
"2016;""Oost-Groningen (CR)"";""Utrecht (CR)"";91"
"2017;""Oost-Groningen (CR)"";""Utrecht (CR)"";93"
"2018;""Oost-Groningen (CR)"";""Utrecht (CR)"";102"
"2019;""Oost-Groningen (CR)"";""Utrecht (CR)"";110"
"2020;""Oost-Groningen (CR)"";""Utrecht (CR)"";110"
"2011;""Oost-Groningen (CR)"";""Kop van Noord-Holland (CR)"";43"
"2012;""Oost-Groningen (CR)"";""Kop van Noord-Holland (CR)"";48"
"2013;""Oost-Groningen (CR)"";""Kop van Noord-Holland (CR)"";27"
"2014;""Oost-Groningen (CR)"";""Kop van Noord-Holland (CR)"";27"
"2015;""Oost-Groningen (CR)"";""Kop van Noord-Holland (CR)"";22"
"2016;""Oost-Groningen (CR)"";""Kop van Noord-Holland (CR)"";25"
"2017;""Oost-Groningen (CR)"";""Kop van Noord-Holland (CR)"";65"
"2018;""Oost-Groningen (CR)"";""Kop van Noord-Holland (CR)"";53"
"2019;""Oost-Groningen (CR)"";""Kop van Noord-Holland (CR)"";53"
"2020;""Oost-Groningen (CR)"";""Kop van Noord-Holland (CR)"";52"
"2011;""Oost-Groningen (CR)"";""Alkmaar en omgeving (CR)"";35"
"2012;""Oost-Groningen (CR)"";""Alkmaar en omgeving (CR)"";27"
"2013;""Oost-Groningen (CR)"";""Alkmaar en omgeving (CR)"";13"
"2014;""Oost-Groningen (CR)"";""Alkmaar en omgeving (CR)"";7"
"2015;""Oost-Groningen (CR)"";""Alkmaar en omgeving (CR)"";18"
"2016;""Oost-Groningen (CR)"";""Alkmaar en omgeving (CR)"";22"
"2017;""Oost-Groningen (CR)"";""Alkmaar en omgeving (CR)"";22"
"2018;""Oost-Groningen (CR)"";""Alkmaar en omgeving (CR)"";25"
"2019;""Oost-Groningen (CR)"";""Alkmaar en omgeving (CR)"";31"
"2020;""Oost-Groningen (CR)"";""Alkmaar en omgeving (CR)"";36"
"2011;""Oost-Groningen (CR)"";""IJmond (CR)"";24"
"2012;""Oost-Groningen (CR)"";""IJmond (CR)"";17"
"2013;""Oost-Groningen (CR)"";""IJmond (CR)"";13"
