"Perioden;""Regio van vestiging"";""Regio van vertrek"";""Tussen gemeenten verhuisde personen (aantal)"""
"2019;""Zuidwest-Overijssel (CR)"";""Veluwe (CR)"";841"
"2020;""Zuidwest-Overijssel (CR)"";""Veluwe (CR)"";869"
"2011;""Zuidwest-Overijssel (CR)"";""Achterhoek (CR)"";405"
"2012;""Zuidwest-Overijssel (CR)"";""Achterhoek (CR)"";396"
"2013;""Zuidwest-Overijssel (CR)"";""Achterhoek (CR)"";433"
"2014;""Zuidwest-Overijssel (CR)"";""Achterhoek (CR)"";572"
"2015;""Zuidwest-Overijssel (CR)"";""Achterhoek (CR)"";501"
"2016;""Zuidwest-Overijssel (CR)"";""Achterhoek (CR)"";576"
"2017;""Zuidwest-Overijssel (CR)"";""Achterhoek (CR)"";548"
"2018;""Zuidwest-Overijssel (CR)"";""Achterhoek (CR)"";493"
"2019;""Zuidwest-Overijssel (CR)"";""Achterhoek (CR)"";537"
"2020;""Zuidwest-Overijssel (CR)"";""Achterhoek (CR)"";517"
"2011;""Zuidwest-Overijssel (CR)"";""Arnhem/Nijmegen (CR)"";226"
"2012;""Zuidwest-Overijssel (CR)"";""Arnhem/Nijmegen (CR)"";206"
"2013;""Zuidwest-Overijssel (CR)"";""Arnhem/Nijmegen (CR)"";243"
"2014;""Zuidwest-Overijssel (CR)"";""Arnhem/Nijmegen (CR)"";255"
"2015;""Zuidwest-Overijssel (CR)"";""Arnhem/Nijmegen (CR)"";321"
"2016;""Zuidwest-Overijssel (CR)"";""Arnhem/Nijmegen (CR)"";270"
"2017;""Zuidwest-Overijssel (CR)"";""Arnhem/Nijmegen (CR)"";284"
"2018;""Zuidwest-Overijssel (CR)"";""Arnhem/Nijmegen (CR)"";292"
"2019;""Zuidwest-Overijssel (CR)"";""Arnhem/Nijmegen (CR)"";315"
"2020;""Zuidwest-Overijssel (CR)"";""Arnhem/Nijmegen (CR)"";525"
"2011;""Zuidwest-Overijssel (CR)"";""Zuidwest-Gelderland (CR)"";16"
"2012;""Zuidwest-Overijssel (CR)"";""Zuidwest-Gelderland (CR)"";21"
"2013;""Zuidwest-Overijssel (CR)"";""Zuidwest-Gelderland (CR)"";28"
"2014;""Zuidwest-Overijssel (CR)"";""Zuidwest-Gelderland (CR)"";16"
"2015;""Zuidwest-Overijssel (CR)"";""Zuidwest-Gelderland (CR)"";25"
"2016;""Zuidwest-Overijssel (CR)"";""Zuidwest-Gelderland (CR)"";15"
"2017;""Zuidwest-Overijssel (CR)"";""Zuidwest-Gelderland (CR)"";23"
"2018;""Zuidwest-Overijssel (CR)"";""Zuidwest-Gelderland (CR)"";16"
"2019;""Zuidwest-Overijssel (CR)"";""Zuidwest-Gelderland (CR)"";25"
"2020;""Zuidwest-Overijssel (CR)"";""Zuidwest-Gelderland (CR)"";19"
"2011;""Zuidwest-Overijssel (CR)"";""Utrecht (CR)"";284"
"2012;""Zuidwest-Overijssel (CR)"";""Utrecht (CR)"";215"
"2013;""Zuidwest-Overijssel (CR)"";""Utrecht (CR)"";225"
"2014;""Zuidwest-Overijssel (CR)"";""Utrecht (CR)"";239"
"2015;""Zuidwest-Overijssel (CR)"";""Utrecht (CR)"";274"
"2016;""Zuidwest-Overijssel (CR)"";""Utrecht (CR)"";354"
"2017;""Zuidwest-Overijssel (CR)"";""Utrecht (CR)"";333"
"2018;""Zuidwest-Overijssel (CR)"";""Utrecht (CR)"";317"
"2019;""Zuidwest-Overijssel (CR)"";""Utrecht (CR)"";317"
"2020;""Zuidwest-Overijssel (CR)"";""Utrecht (CR)"";355"
"2011;""Zuidwest-Overijssel (CR)"";""Kop van Noord-Holland (CR)"";21"
"2012;""Zuidwest-Overijssel (CR)"";""Kop van Noord-Holland (CR)"";23"
"2013;""Zuidwest-Overijssel (CR)"";""Kop van Noord-Holland (CR)"";32"
"2014;""Zuidwest-Overijssel (CR)"";""Kop van Noord-Holland (CR)"";16"
"2015;""Zuidwest-Overijssel (CR)"";""Kop van Noord-Holland (CR)"";24"
"2016;""Zuidwest-Overijssel (CR)"";""Kop van Noord-Holland (CR)"";34"
"2017;""Zuidwest-Overijssel (CR)"";""Kop van Noord-Holland (CR)"";38"
"2018;""Zuidwest-Overijssel (CR)"";""Kop van Noord-Holland (CR)"";22"
"2019;""Zuidwest-Overijssel (CR)"";""Kop van Noord-Holland (CR)"";37"
"2020;""Zuidwest-Overijssel (CR)"";""Kop van Noord-Holland (CR)"";23"
"2011;""Zuidwest-Overijssel (CR)"";""Alkmaar en omgeving (CR)"";13"
"2012;""Zuidwest-Overijssel (CR)"";""Alkmaar en omgeving (CR)"";8"
"2013;""Zuidwest-Overijssel (CR)"";""Alkmaar en omgeving (CR)"";4"
"2014;""Zuidwest-Overijssel (CR)"";""Alkmaar en omgeving (CR)"";14"
"2015;""Zuidwest-Overijssel (CR)"";""Alkmaar en omgeving (CR)"";19"
"2016;""Zuidwest-Overijssel (CR)"";""Alkmaar en omgeving (CR)"";15"
"2017;""Zuidwest-Overijssel (CR)"";""Alkmaar en omgeving (CR)"";24"
"2018;""Zuidwest-Overijssel (CR)"";""Alkmaar en omgeving (CR)"";20"
"2019;""Zuidwest-Overijssel (CR)"";""Alkmaar en omgeving (CR)"";36"
"2020;""Zuidwest-Overijssel (CR)"";""Alkmaar en omgeving (CR)"";19"
"2011;""Zuidwest-Overijssel (CR)"";""IJmond (CR)"";6"
"2012;""Zuidwest-Overijssel (CR)"";""IJmond (CR)"";11"
"2013;""Zuidwest-Overijssel (CR)"";""IJmond (CR)"";12"
"2014;""Zuidwest-Overijssel (CR)"";""IJmond (CR)"";18"
"2015;""Zuidwest-Overijssel (CR)"";""IJmond (CR)"";15"
"2016;""Zuidwest-Overijssel (CR)"";""IJmond (CR)"";13"
"2017;""Zuidwest-Overijssel (CR)"";""IJmond (CR)"";18"
"2018;""Zuidwest-Overijssel (CR)"";""IJmond (CR)"";8"
"2019;""Zuidwest-Overijssel (CR)"";""IJmond (CR)"";14"
"2020;""Zuidwest-Overijssel (CR)"";""IJmond (CR)"";14"
"2011;""Zuidwest-Overijssel (CR)"";""Agglomeratie Haarlem (CR)"";22"
"2012;""Zuidwest-Overijssel (CR)"";""Agglomeratie Haarlem (CR)"";11"
"2013;""Zuidwest-Overijssel (CR)"";""Agglomeratie Haarlem (CR)"";12"
"2014;""Zuidwest-Overijssel (CR)"";""Agglomeratie Haarlem (CR)"";30"
"2015;""Zuidwest-Overijssel (CR)"";""Agglomeratie Haarlem (CR)"";23"
"2016;""Zuidwest-Overijssel (CR)"";""Agglomeratie Haarlem (CR)"";31"
"2017;""Zuidwest-Overijssel (CR)"";""Agglomeratie Haarlem (CR)"";24"
"2018;""Zuidwest-Overijssel (CR)"";""Agglomeratie Haarlem (CR)"";24"
"2019;""Zuidwest-Overijssel (CR)"";""Agglomeratie Haarlem (CR)"";28"
"2020;""Zuidwest-Overijssel (CR)"";""Agglomeratie Haarlem (CR)"";35"
"2011;""Zuidwest-Overijssel (CR)"";""Zaanstreek (CR)"";7"
"2012;""Zuidwest-Overijssel (CR)"";""Zaanstreek (CR)"";5"
"2013;""Zuidwest-Overijssel (CR)"";""Zaanstreek (CR)"";6"
"2014;""Zuidwest-Overijssel (CR)"";""Zaanstreek (CR)"";9"
"2015;""Zuidwest-Overijssel (CR)"";""Zaanstreek (CR)"";10"
"2016;""Zuidwest-Overijssel (CR)"";""Zaanstreek (CR)"";2"
"2017;""Zuidwest-Overijssel (CR)"";""Zaanstreek (CR)"";13"
"2018;""Zuidwest-Overijssel (CR)"";""Zaanstreek (CR)"";18"
"2019;""Zuidwest-Overijssel (CR)"";""Zaanstreek (CR)"";11"
"2020;""Zuidwest-Overijssel (CR)"";""Zaanstreek (CR)"";15"
"2011;""Zuidwest-Overijssel (CR)"";""Groot-Amsterdam (CR)"";141"
"2012;""Zuidwest-Overijssel (CR)"";""Groot-Amsterdam (CR)"";141"
"2013;""Zuidwest-Overijssel (CR)"";""Groot-Amsterdam (CR)"";172"
"2014;""Zuidwest-Overijssel (CR)"";""Groot-Amsterdam (CR)"";200"
"2015;""Zuidwest-Overijssel (CR)"";""Groot-Amsterdam (CR)"";196"
"2016;""Zuidwest-Overijssel (CR)"";""Groot-Amsterdam (CR)"";205"
"2017;""Zuidwest-Overijssel (CR)"";""Groot-Amsterdam (CR)"";194"
"2018;""Zuidwest-Overijssel (CR)"";""Groot-Amsterdam (CR)"";258"
"2019;""Zuidwest-Overijssel (CR)"";""Groot-Amsterdam (CR)"";250"
"2020;""Zuidwest-Overijssel (CR)"";""Groot-Amsterdam (CR)"";251"
"2011;""Zuidwest-Overijssel (CR)"";""Het Gooi en Vechtstreek (CR)"";25"
"2012;""Zuidwest-Overijssel (CR)"";""Het Gooi en Vechtstreek (CR)"";32"
"2013;""Zuidwest-Overijssel (CR)"";""Het Gooi en Vechtstreek (CR)"";33"
"2014;""Zuidwest-Overijssel (CR)"";""Het Gooi en Vechtstreek (CR)"";31"
"2015;""Zuidwest-Overijssel (CR)"";""Het Gooi en Vechtstreek (CR)"";42"
"2016;""Zuidwest-Overijssel (CR)"";""Het Gooi en Vechtstreek (CR)"";37"
"2017;""Zuidwest-Overijssel (CR)"";""Het Gooi en Vechtstreek (CR)"";60"
"2018;""Zuidwest-Overijssel (CR)"";""Het Gooi en Vechtstreek (CR)"";54"
"2019;""Zuidwest-Overijssel (CR)"";""Het Gooi en Vechtstreek (CR)"";38"
"2020;""Zuidwest-Overijssel (CR)"";""Het Gooi en Vechtstreek (CR)"";49"
"2011;""Zuidwest-Overijssel (CR)"";""Agglomeratie Leiden en Bollenstreek (CR)"";30"
"2012;""Zuidwest-Overijssel (CR)"";""Agglomeratie Leiden en Bollenstreek (CR)"";47"
"2013;""Zuidwest-Overijssel (CR)"";""Agglomeratie Leiden en Bollenstreek (CR)"";18"
"2014;""Zuidwest-Overijssel (CR)"";""Agglomeratie Leiden en Bollenstreek (CR)"";18"
"2015;""Zuidwest-Overijssel (CR)"";""Agglomeratie Leiden en Bollenstreek (CR)"";25"
"2016;""Zuidwest-Overijssel (CR)"";""Agglomeratie Leiden en Bollenstreek (CR)"";27"
"2017;""Zuidwest-Overijssel (CR)"";""Agglomeratie Leiden en Bollenstreek (CR)"";27"
"2018;""Zuidwest-Overijssel (CR)"";""Agglomeratie Leiden en Bollenstreek (CR)"";31"
"2019;""Zuidwest-Overijssel (CR)"";""Agglomeratie Leiden en Bollenstreek (CR)"";57"
"2020;""Zuidwest-Overijssel (CR)"";""Agglomeratie Leiden en Bollenstreek (CR)"";42"
"2011;""Zuidwest-Overijssel (CR)"";""Agglomeratie 's-Gravenhage (CR)"";83"
"2012;""Zuidwest-Overijssel (CR)"";""Agglomeratie 's-Gravenhage (CR)"";61"
"2013;""Zuidwest-Overijssel (CR)"";""Agglomeratie 's-Gravenhage (CR)"";69"
"2014;""Zuidwest-Overijssel (CR)"";""Agglomeratie 's-Gravenhage (CR)"";84"
"2015;""Zuidwest-Overijssel (CR)"";""Agglomeratie 's-Gravenhage (CR)"";85"
"2016;""Zuidwest-Overijssel (CR)"";""Agglomeratie 's-Gravenhage (CR)"";116"
"2017;""Zuidwest-Overijssel (CR)"";""Agglomeratie 's-Gravenhage (CR)"";102"
"2018;""Zuidwest-Overijssel (CR)"";""Agglomeratie 's-Gravenhage (CR)"";87"
"2019;""Zuidwest-Overijssel (CR)"";""Agglomeratie 's-Gravenhage (CR)"";113"
"2020;""Zuidwest-Overijssel (CR)"";""Agglomeratie 's-Gravenhage (CR)"";91"
"2011;""Zuidwest-Overijssel (CR)"";""Delft en Westland (CR)"";29"
"2012;""Zuidwest-Overijssel (CR)"";""Delft en Westland (CR)"";17"
"2013;""Zuidwest-Overijssel (CR)"";""Delft en Westland (CR)"";23"
"2014;""Zuidwest-Overijssel (CR)"";""Delft en Westland (CR)"";19"
"2015;""Zuidwest-Overijssel (CR)"";""Delft en Westland (CR)"";16"
"2016;""Zuidwest-Overijssel (CR)"";""Delft en Westland (CR)"";24"
"2017;""Zuidwest-Overijssel (CR)"";""Delft en Westland (CR)"";19"
"2018;""Zuidwest-Overijssel (CR)"";""Delft en Westland (CR)"";27"
"2019;""Zuidwest-Overijssel (CR)"";""Delft en Westland (CR)"";25"
"2020;""Zuidwest-Overijssel (CR)"";""Delft en Westland (CR)"";27"
"2011;""Zuidwest-Overijssel (CR)"";""Oost-Zuid-Holland (CR)"";10"
"2012;""Zuidwest-Overijssel (CR)"";""Oost-Zuid-Holland (CR)"";11"
"2013;""Zuidwest-Overijssel (CR)"";""Oost-Zuid-Holland (CR)"";12"
"2014;""Zuidwest-Overijssel (CR)"";""Oost-Zuid-Holland (CR)"";14"
"2015;""Zuidwest-Overijssel (CR)"";""Oost-Zuid-Holland (CR)"";30"
"2016;""Zuidwest-Overijssel (CR)"";""Oost-Zuid-Holland (CR)"";19"
"2017;""Zuidwest-Overijssel (CR)"";""Oost-Zuid-Holland (CR)"";34"
"2018;""Zuidwest-Overijssel (CR)"";""Oost-Zuid-Holland (CR)"";23"
"2019;""Zuidwest-Overijssel (CR)"";""Oost-Zuid-Holland (CR)"";23"
"2020;""Zuidwest-Overijssel (CR)"";""Oost-Zuid-Holland (CR)"";31"
"2011;""Zuidwest-Overijssel (CR)"";""Groot-Rijnmond (CR)"";93"
"2012;""Zuidwest-Overijssel (CR)"";""Groot-Rijnmond (CR)"";91"
"2013;""Zuidwest-Overijssel (CR)"";""Groot-Rijnmond (CR)"";69"
"2014;""Zuidwest-Overijssel (CR)"";""Groot-Rijnmond (CR)"";62"
"2015;""Zuidwest-Overijssel (CR)"";""Groot-Rijnmond (CR)"";84"
"2016;""Zuidwest-Overijssel (CR)"";""Groot-Rijnmond (CR)"";96"
"2017;""Zuidwest-Overijssel (CR)"";""Groot-Rijnmond (CR)"";89"
"2018;""Zuidwest-Overijssel (CR)"";""Groot-Rijnmond (CR)"";65"
"2019;""Zuidwest-Overijssel (CR)"";""Groot-Rijnmond (CR)"";97"
"2020;""Zuidwest-Overijssel (CR)"";""Groot-Rijnmond (CR)"";97"
"2011;""Zuidwest-Overijssel (CR)"";""Zuidoost-Zuid-Holland (CR)"";11"
"2012;""Zuidwest-Overijssel (CR)"";""Zuidoost-Zuid-Holland (CR)"";34"
"2013;""Zuidwest-Overijssel (CR)"";""Zuidoost-Zuid-Holland (CR)"";9"
"2014;""Zuidwest-Overijssel (CR)"";""Zuidoost-Zuid-Holland (CR)"";14"
"2015;""Zuidwest-Overijssel (CR)"";""Zuidoost-Zuid-Holland (CR)"";21"
"2016;""Zuidwest-Overijssel (CR)"";""Zuidoost-Zuid-Holland (CR)"";13"
"2017;""Zuidwest-Overijssel (CR)"";""Zuidoost-Zuid-Holland (CR)"";19"
"2018;""Zuidwest-Overijssel (CR)"";""Zuidoost-Zuid-Holland (CR)"";12"
"2019;""Zuidwest-Overijssel (CR)"";""Zuidoost-Zuid-Holland (CR)"";20"
"2020;""Zuidwest-Overijssel (CR)"";""Zuidoost-Zuid-Holland (CR)"";15"
"2011;""Zuidwest-Overijssel (CR)"";""Zeeuwsch-Vlaanderen (CR)"";2"
"2012;""Zuidwest-Overijssel (CR)"";""Zeeuwsch-Vlaanderen (CR)"";1"
"2013;""Zuidwest-Overijssel (CR)"";""Zeeuwsch-Vlaanderen (CR)"";5"
"2014;""Zuidwest-Overijssel (CR)"";""Zeeuwsch-Vlaanderen (CR)"";11"
"2015;""Zuidwest-Overijssel (CR)"";""Zeeuwsch-Vlaanderen (CR)"";4"
"2016;""Zuidwest-Overijssel (CR)"";""Zeeuwsch-Vlaanderen (CR)"";1"
"2017;""Zuidwest-Overijssel (CR)"";""Zeeuwsch-Vlaanderen (CR)"";1"
"2018;""Zuidwest-Overijssel (CR)"";""Zeeuwsch-Vlaanderen (CR)"";3"
"2019;""Zuidwest-Overijssel (CR)"";""Zeeuwsch-Vlaanderen (CR)"";1"
"2020;""Zuidwest-Overijssel (CR)"";""Zeeuwsch-Vlaanderen (CR)"";2"
"2011;""Zuidwest-Overijssel (CR)"";""Overig Zeeland (CR)"";10"
"2012;""Zuidwest-Overijssel (CR)"";""Overig Zeeland (CR)"";13"
"2013;""Zuidwest-Overijssel (CR)"";""Overig Zeeland (CR)"";24"
"2014;""Zuidwest-Overijssel (CR)"";""Overig Zeeland (CR)"";12"
"2015;""Zuidwest-Overijssel (CR)"";""Overig Zeeland (CR)"";12"
"2016;""Zuidwest-Overijssel (CR)"";""Overig Zeeland (CR)"";20"
"2017;""Zuidwest-Overijssel (CR)"";""Overig Zeeland (CR)"";15"
"2018;""Zuidwest-Overijssel (CR)"";""Overig Zeeland (CR)"";18"
"2019;""Zuidwest-Overijssel (CR)"";""Overig Zeeland (CR)"";20"
"2020;""Zuidwest-Overijssel (CR)"";""Overig Zeeland (CR)"";11"
"2011;""Zuidwest-Overijssel (CR)"";""West-Noord-Brabant (CR)"";34"
"2012;""Zuidwest-Overijssel (CR)"";""West-Noord-Brabant (CR)"";29"
"2013;""Zuidwest-Overijssel (CR)"";""West-Noord-Brabant (CR)"";32"
"2014;""Zuidwest-Overijssel (CR)"";""West-Noord-Brabant (CR)"";26"
"2015;""Zuidwest-Overijssel (CR)"";""West-Noord-Brabant (CR)"";15"
"2016;""Zuidwest-Overijssel (CR)"";""West-Noord-Brabant (CR)"";30"
"2017;""Zuidwest-Overijssel (CR)"";""West-Noord-Brabant (CR)"";37"
"2018;""Zuidwest-Overijssel (CR)"";""West-Noord-Brabant (CR)"";29"
"2019;""Zuidwest-Overijssel (CR)"";""West-Noord-Brabant (CR)"";36"
"2020;""Zuidwest-Overijssel (CR)"";""West-Noord-Brabant (CR)"";24"
"2011;""Zuidwest-Overijssel (CR)"";""Midden-Noord-Brabant (CR)"";25"
"2012;""Zuidwest-Overijssel (CR)"";""Midden-Noord-Brabant (CR)"";28"
"2013;""Zuidwest-Overijssel (CR)"";""Midden-Noord-Brabant (CR)"";32"
"2014;""Zuidwest-Overijssel (CR)"";""Midden-Noord-Brabant (CR)"";23"
"2015;""Zuidwest-Overijssel (CR)"";""Midden-Noord-Brabant (CR)"";31"
"2016;""Zuidwest-Overijssel (CR)"";""Midden-Noord-Brabant (CR)"";42"
"2017;""Zuidwest-Overijssel (CR)"";""Midden-Noord-Brabant (CR)"";39"
"2018;""Zuidwest-Overijssel (CR)"";""Midden-Noord-Brabant (CR)"";36"
"2019;""Zuidwest-Overijssel (CR)"";""Midden-Noord-Brabant (CR)"";26"
"2020;""Zuidwest-Overijssel (CR)"";""Midden-Noord-Brabant (CR)"";105"
"2011;""Zuidwest-Overijssel (CR)"";""Noordoost-Noord-Brabant (CR)"";48"
"2012;""Zuidwest-Overijssel (CR)"";""Noordoost-Noord-Brabant (CR)"";28"
"2013;""Zuidwest-Overijssel (CR)"";""Noordoost-Noord-Brabant (CR)"";32"
"2014;""Zuidwest-Overijssel (CR)"";""Noordoost-Noord-Brabant (CR)"";47"
"2015;""Zuidwest-Overijssel (CR)"";""Noordoost-Noord-Brabant (CR)"";57"
"2016;""Zuidwest-Overijssel (CR)"";""Noordoost-Noord-Brabant (CR)"";48"
"2017;""Zuidwest-Overijssel (CR)"";""Noordoost-Noord-Brabant (CR)"";48"
"2018;""Zuidwest-Overijssel (CR)"";""Noordoost-Noord-Brabant (CR)"";49"
"2019;""Zuidwest-Overijssel (CR)"";""Noordoost-Noord-Brabant (CR)"";46"
"2020;""Zuidwest-Overijssel (CR)"";""Noordoost-Noord-Brabant (CR)"";39"
"2011;""Zuidwest-Overijssel (CR)"";""Zuidoost-Noord-Brabant (CR)"";57"
"2012;""Zuidwest-Overijssel (CR)"";""Zuidoost-Noord-Brabant (CR)"";49"
"2013;""Zuidwest-Overijssel (CR)"";""Zuidoost-Noord-Brabant (CR)"";41"
"2014;""Zuidwest-Overijssel (CR)"";""Zuidoost-Noord-Brabant (CR)"";39"
"2015;""Zuidwest-Overijssel (CR)"";""Zuidoost-Noord-Brabant (CR)"";72"
"2016;""Zuidwest-Overijssel (CR)"";""Zuidoost-Noord-Brabant (CR)"";68"
"2017;""Zuidwest-Overijssel (CR)"";""Zuidoost-Noord-Brabant (CR)"";163"
"2018;""Zuidwest-Overijssel (CR)"";""Zuidoost-Noord-Brabant (CR)"";48"
"2019;""Zuidwest-Overijssel (CR)"";""Zuidoost-Noord-Brabant (CR)"";68"
"2020;""Zuidwest-Overijssel (CR)"";""Zuidoost-Noord-Brabant (CR)"";68"
"2011;""Zuidwest-Overijssel (CR)"";""Noord-Limburg (CR)"";16"
"2012;""Zuidwest-Overijssel (CR)"";""Noord-Limburg (CR)"";9"
"2013;""Zuidwest-Overijssel (CR)"";""Noord-Limburg (CR)"";15"
"2014;""Zuidwest-Overijssel (CR)"";""Noord-Limburg (CR)"";14"
"2015;""Zuidwest-Overijssel (CR)"";""Noord-Limburg (CR)"";24"
"2016;""Zuidwest-Overijssel (CR)"";""Noord-Limburg (CR)"";26"
"2017;""Zuidwest-Overijssel (CR)"";""Noord-Limburg (CR)"";24"
"2018;""Zuidwest-Overijssel (CR)"";""Noord-Limburg (CR)"";21"
"2019;""Zuidwest-Overijssel (CR)"";""Noord-Limburg (CR)"";15"
"2020;""Zuidwest-Overijssel (CR)"";""Noord-Limburg (CR)"";14"
"2011;""Zuidwest-Overijssel (CR)"";""Midden-Limburg (CR)"";12"
"2012;""Zuidwest-Overijssel (CR)"";""Midden-Limburg (CR)"";13"
"2013;""Zuidwest-Overijssel (CR)"";""Midden-Limburg (CR)"";10"
"2014;""Zuidwest-Overijssel (CR)"";""Midden-Limburg (CR)"";17"
"2015;""Zuidwest-Overijssel (CR)"";""Midden-Limburg (CR)"";6"
"2016;""Zuidwest-Overijssel (CR)"";""Midden-Limburg (CR)"";5"
"2017;""Zuidwest-Overijssel (CR)"";""Midden-Limburg (CR)"";12"
"2018;""Zuidwest-Overijssel (CR)"";""Midden-Limburg (CR)"";12"
"2019;""Zuidwest-Overijssel (CR)"";""Midden-Limburg (CR)"";24"
"2020;""Zuidwest-Overijssel (CR)"";""Midden-Limburg (CR)"";15"
"2011;""Zuidwest-Overijssel (CR)"";""Zuid-Limburg (CR)"";28"
"2012;""Zuidwest-Overijssel (CR)"";""Zuid-Limburg (CR)"";31"
"2013;""Zuidwest-Overijssel (CR)"";""Zuid-Limburg (CR)"";31"
"2014;""Zuidwest-Overijssel (CR)"";""Zuid-Limburg (CR)"";35"
"2015;""Zuidwest-Overijssel (CR)"";""Zuid-Limburg (CR)"";23"
"2016;""Zuidwest-Overijssel (CR)"";""Zuid-Limburg (CR)"";33"
"2017;""Zuidwest-Overijssel (CR)"";""Zuid-Limburg (CR)"";32"
"2018;""Zuidwest-Overijssel (CR)"";""Zuid-Limburg (CR)"";28"
"2019;""Zuidwest-Overijssel (CR)"";""Zuid-Limburg (CR)"";34"
"2020;""Zuidwest-Overijssel (CR)"";""Zuid-Limburg (CR)"";26"
"2011;""Zuidwest-Overijssel (CR)"";""Flevoland (CR)"";100"
"2012;""Zuidwest-Overijssel (CR)"";""Flevoland (CR)"";94"
"2013;""Zuidwest-Overijssel (CR)"";""Flevoland (CR)"";69"
"2014;""Zuidwest-Overijssel (CR)"";""Flevoland (CR)"";92"
"2015;""Zuidwest-Overijssel (CR)"";""Flevoland (CR)"";105"
"2016;""Zuidwest-Overijssel (CR)"";""Flevoland (CR)"";114"
"2017;""Zuidwest-Overijssel (CR)"";""Flevoland (CR)"";103"
"2018;""Zuidwest-Overijssel (CR)"";""Flevoland (CR)"";111"
"2019;""Zuidwest-Overijssel (CR)"";""Flevoland (CR)"";128"
"2020;""Zuidwest-Overijssel (CR)"";""Flevoland (CR)"";119"
"2011;""Twente (CR)"";""Oost-Groningen (CR)"";82"
"2012;""Twente (CR)"";""Oost-Groningen (CR)"";73"
"2013;""Twente (CR)"";""Oost-Groningen (CR)"";93"
"2014;""Twente (CR)"";""Oost-Groningen (CR)"";79"
"2015;""Twente (CR)"";""Oost-Groningen (CR)"";263"
"2016;""Twente (CR)"";""Oost-Groningen (CR)"";269"
"2017;""Twente (CR)"";""Oost-Groningen (CR)"";101"
"2018;""Twente (CR)"";""Oost-Groningen (CR)"";269"
"2019;""Twente (CR)"";""Oost-Groningen (CR)"";449"
"2020;""Twente (CR)"";""Oost-Groningen (CR)"";369"
"2011;""Twente (CR)"";""Delfzijl en omgeving (CR)"";45"
"2012;""Twente (CR)"";""Delfzijl en omgeving (CR)"";37"
"2013;""Twente (CR)"";""Delfzijl en omgeving (CR)"";15"
"2014;""Twente (CR)"";""Delfzijl en omgeving (CR)"";24"
"2015;""Twente (CR)"";""Delfzijl en omgeving (CR)"";35"
"2016;""Twente (CR)"";""Delfzijl en omgeving (CR)"";22"
"2017;""Twente (CR)"";""Delfzijl en omgeving (CR)"";13"
"2018;""Twente (CR)"";""Delfzijl en omgeving (CR)"";21"
"2019;""Twente (CR)"";""Delfzijl en omgeving (CR)"";15"
"2020;""Twente (CR)"";""Delfzijl en omgeving (CR)"";22"
"2011;""Twente (CR)"";""Overig Groningen (CR)"";612"
"2012;""Twente (CR)"";""Overig Groningen (CR)"";651"
"2013;""Twente (CR)"";""Overig Groningen (CR)"";605"
"2014;""Twente (CR)"";""Overig Groningen (CR)"";711"
"2015;""Twente (CR)"";""Overig Groningen (CR)"";659"
"2016;""Twente (CR)"";""Overig Groningen (CR)"";621"
"2017;""Twente (CR)"";""Overig Groningen (CR)"";631"
"2018;""Twente (CR)"";""Overig Groningen (CR)"";613"
"2019;""Twente (CR)"";""Overig Groningen (CR)"";620"
"2020;""Twente (CR)"";""Overig Groningen (CR)"";518"
"2011;""Twente (CR)"";""Noord-Friesland (CR)"";211"
"2012;""Twente (CR)"";""Noord-Friesland (CR)"";195"
"2013;""Twente (CR)"";""Noord-Friesland (CR)"";202"
"2014;""Twente (CR)"";""Noord-Friesland (CR)"";210"
"2015;""Twente (CR)"";""Noord-Friesland (CR)"";191"
"2016;""Twente (CR)"";""Noord-Friesland (CR)"";221"
"2017;""Twente (CR)"";""Noord-Friesland (CR)"";210"
"2018;""Twente (CR)"";""Noord-Friesland (CR)"";186"
"2019;""Twente (CR)"";""Noord-Friesland (CR)"";197"
"2020;""Twente (CR)"";""Noord-Friesland (CR)"";164"
"2011;""Twente (CR)"";""Zuidwest-Friesland (CR)"";39"
"2012;""Twente (CR)"";""Zuidwest-Friesland (CR)"";56"
"2013;""Twente (CR)"";""Zuidwest-Friesland (CR)"";38"
"2014;""Twente (CR)"";""Zuidwest-Friesland (CR)"";45"
"2015;""Twente (CR)"";""Zuidwest-Friesland (CR)"";54"
"2016;""Twente (CR)"";""Zuidwest-Friesland (CR)"";39"
"2017;""Twente (CR)"";""Zuidwest-Friesland (CR)"";64"
"2018;""Twente (CR)"";""Zuidwest-Friesland (CR)"";71"
"2019;""Twente (CR)"";""Zuidwest-Friesland (CR)"";36"
"2020;""Twente (CR)"";""Zuidwest-Friesland (CR)"";51"
"2011;""Twente (CR)"";""Zuidoost-Friesland (CR)"";94"
"2012;""Twente (CR)"";""Zuidoost-Friesland (CR)"";81"
"2013;""Twente (CR)"";""Zuidoost-Friesland (CR)"";75"
"2014;""Twente (CR)"";""Zuidoost-Friesland (CR)"";91"
"2015;""Twente (CR)"";""Zuidoost-Friesland (CR)"";98"
"2016;""Twente (CR)"";""Zuidoost-Friesland (CR)"";80"
"2017;""Twente (CR)"";""Zuidoost-Friesland (CR)"";97"
"2018;""Twente (CR)"";""Zuidoost-Friesland (CR)"";73"
"2019;""Twente (CR)"";""Zuidoost-Friesland (CR)"";79"
"2020;""Twente (CR)"";""Zuidoost-Friesland (CR)"";82"
"2011;""Twente (CR)"";""Noord-Drenthe (CR)"";114"
"2012;""Twente (CR)"";""Noord-Drenthe (CR)"";115"
