"ID;""RegioVanVestiging"";""RegioVanVertrek"";""Perioden"";""TussenGemeentenVerhuisdePersonen_1"""
"66598;""CR01  "";""CR12  "";""2017JJ00"";""      77"""
"66599;""CR01  "";""CR12  "";""2018JJ00"";""      55"""
"66600;""CR01  "";""CR13  "";""2011JJ00"";""      84"""
"66601;""CR01  "";""CR13  "";""2012JJ00"";""      65"""
"66602;""CR01  "";""CR13  "";""2013JJ00"";""      56"""
"66603;""CR01  "";""CR13  "";""2014JJ00"";""      49"""
"66604;""CR01  "";""CR13  "";""2015JJ00"";""      50"""
"66605;""CR01  "";""CR13  "";""2016JJ00"";""      66"""
"66606;""CR01  "";""CR13  "";""2017JJ00"";""      92"""
"66607;""CR01  "";""CR13  "";""2018JJ00"";""      62"""
"66608;""CR01  "";""CR14  "";""2011JJ00"";""      32"""
"66609;""CR01  "";""CR14  "";""2012JJ00"";""      17"""
"66610;""CR01  "";""CR14  "";""2013JJ00"";""      27"""
"66611;""CR01  "";""CR14  "";""2014JJ00"";""      34"""
"66612;""CR01  "";""CR14  "";""2015JJ00"";""      21"""
"66613;""CR01  "";""CR14  "";""2016JJ00"";""      87"""
"66614;""CR01  "";""CR14  "";""2017JJ00"";""      28"""
"66615;""CR01  "";""CR14  "";""2018JJ00"";""      34"""
"66616;""CR01  "";""CR15  "";""2011JJ00"";""      50"""
"66617;""CR01  "";""CR15  "";""2012JJ00"";""      50"""
"66618;""CR01  "";""CR15  "";""2013JJ00"";""      36"""
"66619;""CR01  "";""CR15  "";""2014JJ00"";""      31"""
"66620;""CR01  "";""CR15  "";""2015JJ00"";""      40"""
"66621;""CR01  "";""CR15  "";""2016JJ00"";""      71"""
"66622;""CR01  "";""CR15  "";""2017JJ00"";""      53"""
"66623;""CR01  "";""CR15  "";""2018JJ00"";""      46"""
"66624;""CR01  "";""CR16  "";""2011JJ00"";""      18"""
"66625;""CR01  "";""CR16  "";""2012JJ00"";""       8"""
"66626;""CR01  "";""CR16  "";""2013JJ00"";""      13"""
"66627;""CR01  "";""CR16  "";""2014JJ00"";""      10"""
"66628;""CR01  "";""CR16  "";""2015JJ00"";""       7"""
"66629;""CR01  "";""CR16  "";""2016JJ00"";""      10"""
"66630;""CR01  "";""CR16  "";""2017JJ00"";""      32"""
"66631;""CR01  "";""CR16  "";""2018JJ00"";""      12"""
"66632;""CR01  "";""CR17  "";""2011JJ00"";""     128"""
"66633;""CR01  "";""CR17  "";""2012JJ00"";""     102"""
"66634;""CR01  "";""CR17  "";""2013JJ00"";""     106"""
"66635;""CR01  "";""CR17  "";""2014JJ00"";""      93"""
"66636;""CR01  "";""CR17  "";""2015JJ00"";""     102"""
"66637;""CR01  "";""CR17  "";""2016JJ00"";""      91"""
"66638;""CR01  "";""CR17  "";""2017JJ00"";""      93"""
"66639;""CR01  "";""CR17  "";""2018JJ00"";""     102"""
"66640;""CR01  "";""CR18  "";""2011JJ00"";""      43"""
"66641;""CR01  "";""CR18  "";""2012JJ00"";""      48"""
"66642;""CR01  "";""CR18  "";""2013JJ00"";""      27"""
"66643;""CR01  "";""CR18  "";""2014JJ00"";""      27"""
"66644;""CR01  "";""CR18  "";""2015JJ00"";""      22"""
"66645;""CR01  "";""CR18  "";""2016JJ00"";""      25"""
"66646;""CR01  "";""CR18  "";""2017JJ00"";""      65"""
"66647;""CR01  "";""CR18  "";""2018JJ00"";""      53"""
"66648;""CR01  "";""CR19  "";""2011JJ00"";""      35"""
"66649;""CR01  "";""CR19  "";""2012JJ00"";""      27"""
"66650;""CR01  "";""CR19  "";""2013JJ00"";""      13"""
"66651;""CR01  "";""CR19  "";""2014JJ00"";""       7"""
"66652;""CR01  "";""CR19  "";""2015JJ00"";""      18"""
"66653;""CR01  "";""CR19  "";""2016JJ00"";""      22"""
"66654;""CR01  "";""CR19  "";""2017JJ00"";""      22"""
"66655;""CR01  "";""CR19  "";""2018JJ00"";""      25"""
"66656;""CR01  "";""CR20  "";""2011JJ00"";""      24"""
"66657;""CR01  "";""CR20  "";""2012JJ00"";""      17"""
"66658;""CR01  "";""CR20  "";""2013JJ00"";""      13"""
"66659;""CR01  "";""CR20  "";""2014JJ00"";""      14"""
"66660;""CR01  "";""CR20  "";""2015JJ00"";""      16"""
"66661;""CR01  "";""CR20  "";""2016JJ00"";""      14"""
"66662;""CR01  "";""CR20  "";""2017JJ00"";""      23"""
"66663;""CR01  "";""CR20  "";""2018JJ00"";""      31"""
"66664;""CR01  "";""CR21  "";""2011JJ00"";""      14"""
"66665;""CR01  "";""CR21  "";""2012JJ00"";""      16"""
"66666;""CR01  "";""CR21  "";""2013JJ00"";""      13"""
"66667;""CR01  "";""CR21  "";""2014JJ00"";""      20"""
"66668;""CR01  "";""CR21  "";""2015JJ00"";""      11"""
"66669;""CR01  "";""CR21  "";""2016JJ00"";""      21"""
"66670;""CR01  "";""CR21  "";""2017JJ00"";""      12"""
"66671;""CR01  "";""CR21  "";""2018JJ00"";""      22"""
"66672;""CR01  "";""CR22  "";""2011JJ00"";""      25"""
"66673;""CR01  "";""CR22  "";""2012JJ00"";""       8"""
