"Regio's";"Codes en namen van gemeenten/Code (code)";"Codes en namen van gemeenten/Naam (naam)";"Codes en namen van gemeenten/Sortering naam (naam)"
"Delft";"GM0503    ";"Delft                                             ";"Delft                                             "
"Delfzijl";"GM0010    ";"Delfzijl                                          ";"Delfzijl                                          "
"Deurne";"GM0762    ";"Deurne                                            ";"Deurne                                            "
"Deventer";"GM0150    ";"Deventer                                          ";"Deventer                                          "
"Diemen";"GM0384    ";"Diemen                                            ";"Diemen                                            "
"Dinkelland";"GM1774    ";"Dinkelland                                        ";"Dinkelland                                        "
"Doesburg";"GM0221    ";"Doesburg                                          ";"Doesburg                                          "
"Doetinchem";"GM0222    ";"Doetinchem                                        ";"Doetinchem                                        "
"Dongen";"GM0766    ";"Dongen                                            ";"Dongen                                            "
"Dongeradeel";"GM0058    ";"Dongeradeel                                       ";"Dongeradeel                                       "
"Dordrecht";"GM0505    ";"Dordrecht                                         ";"Dordrecht                                         "
"Drechterland";"GM0498    ";"Drechterland                                      ";"Drechterland                                      "
"Drimmelen";"GM1719    ";"Drimmelen                                         ";"Drimmelen                                         "
"Dronten";"GM0303    ";"Dronten                                           ";"Dronten                                           "
"Druten";"GM0225    ";"Druten                                            ";"Druten                                            "
"Duiven";"GM0226    ";"Duiven                                            ";"Duiven                                            "
"Echt-Susteren";"GM1711    ";"Echt-Susteren                                     ";"Echt+Susteren                                     "
"Edam-Volendam";"GM0385    ";"Edam-Volendam                                     ";"Edam+Volendam                                     "
"Ede";"GM0228    ";"Ede                                               ";"Ede                                               "
"Eemnes";"GM0317    ";"Eemnes                                            ";"Eemnes                                            "
"Eemsmond";"GM1651    ";"Eemsmond                                          ";"Eemsmond                                          "
"Eersel";"GM0770    ";"Eersel                                            ";"Eersel                                            "
"Eijsden-Margraten";"GM1903    ";"Eijsden-Margraten                                 ";"Eijsden+Margraten                                 "
"Eindhoven";"GM0772    ";"Eindhoven                                         ";"Eindhoven                                         "
"Elburg";"GM0230    ";"Elburg                                            ";"Elburg                                            "
"Emmen";"GM0114    ";"Emmen                                             ";"Emmen                                             "
"Enkhuizen";"GM0388    ";"Enkhuizen                                         ";"Enkhuizen                                         "
"Enschede";"GM0153    ";"Enschede                                          ";"Enschede                                          "
"Epe";"GM0232    ";"Epe                                               ";"Epe                                               "
"Ermelo";"GM0233    ";"Ermelo                                            ";"Ermelo                                            "
"Etten-Leur";"GM0777    ";"Etten-Leur                                        ";"Etten+Leur                                        "
"Ferwerderadiel";"GM1722    ";"Ferwerderadiel                                    ";"Ferwerderadiel                                    "
"De Fryske Marren";"GM1940    ";"De Fryske Marren                                  ";"Fryske Marren De                                  "
"Geertruidenberg";"GM0779    ";"Geertruidenberg                                   ";"Geertruidenberg                                   "
"Geldermalsen";"GM0236    ";"Geldermalsen                                      ";"Geldermalsen                                      "
"Geldrop-Mierlo";"GM1771    ";"Geldrop-Mierlo                                    ";"Geldrop+Mierlo                                    "
"Gemert-Bakel";"GM1652    ";"Gemert-Bakel                                      ";"Gemert+Bakel                                      "
"Gennep";"GM0907    ";"Gennep                                            ";"Gennep                                            "
"Giessenlanden";"GM0689    ";"Giessenlanden                                     ";"Giessenlanden                                     "
"Gilze en Rijen";"GM0784    ";"Gilze en Rijen                                    ";"Gilze en Rijen                                    "
"Goeree-Overflakkee";"GM1924    ";"Goeree-Overflakkee                                ";"Goeree+Overflakkee                                "
"Goes";"GM0664    ";"Goes                                              ";"Goes                                              "
"Goirle";"GM0785    ";"Goirle                                            ";"Goirle                                            "
"Gooise Meren";"GM1942    ";"Gooise Meren                                      ";"Gooise Meren                                      "
"Gorinchem";"GM0512    ";"Gorinchem                                         ";"Gorinchem                                         "
"Gouda";"GM0513    ";"Gouda                                             ";"Gouda                                             "
"Grave";"GM0786    ";"Grave                                             ";"Grave                                             "
"'s-Gravenhage (gemeente)";"GM0518    ";"'s-Gravenhage                                     ";"Gravenhage 's-                                    "
"Groningen (gemeente)";"GM0014    ";"Groningen                                         ";"Groningen                                         "
"Grootegast";"GM0015    ";"Grootegast                                        ";"Grootegast                                        "
"Gulpen-Wittem";"GM1729    ";"Gulpen-Wittem                                     ";"Gulpen+Wittem                                     "
"Haaksbergen";"GM0158    ";"Haaksbergen                                       ";"Haaksbergen                                       "
"Haaren";"GM0788    ";"Haaren                                            ";"Haaren                                            "
"Haarlem";"GM0392    ";"Haarlem                                           ";"Haarlem                                           "
"Haarlemmerliede en Spaarnwoude";"GM0393    ";"Haarlemmerliede en Spaarnwoude                    ";"Haarlemmerliede en Spaarnwoude                    "
"Haarlemmermeer";"GM0394    ";"Haarlemmermeer                                    ";"Haarlemmermeer                                    "
"Halderberge";"GM1655    ";"Halderberge                                       ";"Halderberge                                       "
"Hardenberg";"GM0160    ";"Hardenberg                                        ";"Hardenberg                                        "
"Harderwijk";"GM0243    ";"Harderwijk                                        ";"Harderwijk                                        "
"Hardinxveld-Giessendam";"GM0523    ";"Hardinxveld-Giessendam                            ";"Hardinxveld+Giessendam                            "
"Haren";"GM0017    ";"Haren                                             ";"Haren                                             "
"Harlingen";"GM0072    ";"Harlingen                                         ";"Harlingen                                         "
"Hattem";"GM0244    ";"Hattem                                            ";"Hattem                                            "
"Heemskerk";"GM0396    ";"Heemskerk                                         ";"Heemskerk                                         "
"Heemstede";"GM0397    ";"Heemstede                                         ";"Heemstede                                         "
"Heerde";"GM0246    ";"Heerde                                            ";"Heerde                                            "
"Heerenveen";"GM0074    ";"Heerenveen                                        ";"Heerenveen                                        "
"Heerhugowaard";"GM0398    ";"Heerhugowaard                                     ";"Heerhugowaard                                     "
"Heerlen";"GM0917    ";"Heerlen                                           ";"Heerlen                                           "
"Heeze-Leende";"GM1658    ";"Heeze-Leende                                      ";"Heeze+Leende                                      "
"Heiloo";"GM0399    ";"Heiloo                                            ";"Heiloo                                            "
"Den Helder";"GM0400    ";"Den Helder                                        ";"Helder Den                                        "
"Hellendoorn";"GM0163    ";"Hellendoorn                                       ";"Hellendoorn                                       "
"Hellevoetsluis";"GM0530    ";"Hellevoetsluis                                    ";"Hellevoetsluis                                    "
"Helmond";"GM0794    ";"Helmond                                           ";"Helmond                                           "
"Hendrik-Ido-Ambacht";"GM0531    ";"Hendrik-Ido-Ambacht                               ";"Hendrik+Ido+Ambacht                               "
"Hengelo (O.)";"GM0164    ";"Hengelo                                           ";"Hengelo                                           "
"'s-Hertogenbosch";"GM0796    ";"'s-Hertogenbosch                                  ";"Hertogenbosch 's-                                 "
"Heumen";"GM0252    ";"Heumen                                            ";"Heumen                                            "
"Heusden";"GM0797    ";"Heusden                                           ";"Heusden                                           "
"Hillegom";"GM0534    ";"Hillegom                                          ";"Hillegom                                          "
"Hilvarenbeek";"GM0798    ";"Hilvarenbeek                                      ";"Hilvarenbeek                                      "
"Hilversum";"GM0402    ";"Hilversum                                         ";"Hilversum                                         "
"Hof van Twente";"GM1735    ";"Hof van Twente                                    ";"Hof van Twente                                    "
"Hollands Kroon";"GM1911    ";"Hollands Kroon                                    ";"Hollands Kroon                                    "
"Hoogeveen";"GM0118    ";"Hoogeveen                                         ";"Hoogeveen                                         "
"Hoorn";"GM0405    ";"Hoorn                                             ";"Hoorn                                             "
"Horst aan de Maas";"GM1507    ";"Horst aan de Maas                                 ";"Horst aan de Maas                                 "
"Houten";"GM0321    ";"Houten                                            ";"Houten                                            "
"Huizen";"GM0406    ";"Huizen                                            ";"Huizen                                            "
"Hulst";"GM0677    ";"Hulst                                             ";"Hulst                                             "
"IJsselstein";"GM0353    ";"IJsselstein                                       ";"IJsselstein                                       "
"Kaag en Braassem";"GM1884    ";"Kaag en Braassem                                  ";"Kaag                                              "
"Kampen";"GM0166    ";"Kampen                                            ";"Kampen                                            "
"Kapelle";"GM0678    ";"Kapelle                                           ";"Kapelle                                           "
"Katwijk";"GM0537    ";"Katwijk                                           ";"Katwijk                                           "
"Kerkrade";"GM0928    ";"Kerkrade                                          ";"Kerkrade                                          "
"Koggenland";"GM1598    ";"Koggenland                                        ";"Koggenland                                        "
"Kollumerland en Nieuwkruisland";"GM0079    ";"Kollumerland en Nieuwkruisland                    ";"Kollumerland en Nieuwkruisland                    "
"Korendijk";"GM0588    ";"Korendijk                                         ";"Korendijk                                         "
"Krimpen aan den IJssel";"GM0542    ";"Krimpen aan den IJssel                            ";"Krimpen aan den IJssel                            "
"Krimpenerwaard";"GM1931    ";"Krimpenerwaard                                    ";"Krimpenerwaard                                    "
"Laarbeek";"GM1659    ";"Laarbeek                                          ";"Laarbeek                                          "
"Landerd";"GM1685    ";"Landerd                                           ";"Landerd                                           "
"Landgraaf";"GM0882    ";"Landgraaf                                         ";"Landgraaf                                         "
"Landsmeer";"GM0415    ";"Landsmeer                                         ";"Landsmeer                                         "
"Langedijk";"GM0416    ";"Langedijk                                         ";"Langedijk                                         "
"Lansingerland";"GM1621    ";"Lansingerland                                     ";"Lansingerland                                     "
"Laren (NH.)";"GM0417    ";"Laren                                             ";"Laren                                             "
"Leek";"GM0022    ";"Leek                                              ";"Leek                                              "
"Leerdam";"GM0545    ";"Leerdam                                           ";"Leerdam                                           "
"Leeuwarden";"GM0080    ";"Leeuwarden                                        ";"Leeuwarden                                        "
"Leiden";"GM0546    ";"Leiden                                            ";"Leiden                                            "
"Leiderdorp";"GM0547    ";"Leiderdorp                                        ";"Leiderdorp                                        "
"Leidschendam-Voorburg";"GM1916    ";"Leidschendam-Voorburg                             ";"Leidschendam+Voorburg                             "
"Lelystad";"GM0995    ";"Lelystad                                          ";"Lelystad                                          "
"Leudal";"GM1640    ";"Leudal                                            ";"Leudal                                            "
"Leusden";"GM0327    ";"Leusden                                           ";"Leusden                                           "
"Lingewaal";"GM0733    ";"Lingewaal                                         ";"Lingewaal                                         "
"Lingewaard";"GM1705    ";"Lingewaard                                        ";"Lingewaard                                        "
"Lisse";"GM0553    ";"Lisse                                             ";"Lisse                                             "
"Lochem";"GM0262    ";"Lochem                                            ";"Lochem                                            "
"Loon op Zand";"GM0809    ";"Loon op Zand                                      ";"Loon op Zand                                      "
"Lopik";"GM0331    ";"Lopik                                             ";"Lopik                                             "
"Loppersum";"GM0024    ";"Loppersum                                         ";"Loppersum                                         "
"Losser";"GM0168    ";"Losser                                            ";"Losser                                            "
"Maasdriel";"GM0263    ";"Maasdriel                                         ";"Maasdriel                                         "
"Maasgouw";"GM1641    ";"Maasgouw                                          ";"Maasgouw                                          "
"Maassluis";"GM0556    ";"Maassluis                                         ";"Maassluis                                         "
"Maastricht";"GM0935    ";"Maastricht                                        ";"Maastricht                                        "
"De Marne";"GM1663    ";"De Marne                                          ";"Marne De                                          "
"Marum";"GM0025    ";"Marum                                             ";"Marum                                             "
"Medemblik";"GM0420    ";"Medemblik                                         ";"Medemblik                                         "
"Meerssen";"GM0938    ";"Meerssen                                          ";"Meerssen                                          "
"Meierijstad";"GM1948    ";"Meierijstad                                       ";"Meierijstad                                       "
"Meppel";"GM0119    ";"Meppel                                            ";"Meppel                                            "
"Middelburg (Z.)";"GM0687    ";"Middelburg                                        ";"Middelburg                                        "
"Midden-Delfland";"GM1842    ";"Midden-Delfland                                   ";"Midden+Delfland                                   "
"Midden-Drenthe";"GM1731    ";"Midden-Drenthe                                    ";"Midden+Drenthe                                    "
"Midden-Groningen";"GM1952    ";"Midden-Groningen                                  ";"Midden+Groningen                                  "
"Mill en Sint Hubert";"GM0815    ";"Mill en Sint Hubert                               ";"Mill en Sint Hubert                               "
"Moerdijk";"GM1709    ";"Moerdijk                                          ";"Moerdijk                                          "
"Molenwaard";"GM1927    ";"Molenwaard                                        ";"Molenwaard                                        "
"Montferland";"GM1955    ";"Montferland                                       ";"Montferland                                       "
"Montfoort";"GM0335    ";"Montfoort                                         ";"Montfoort                                         "
"Mook en Middelaar";"GM0944    ";"Mook en Middelaar                                 ";"Mook en Middelaar                                 "
"Neder-Betuwe";"GM1740    ";"Neder-Betuwe                                      ";"Neder+Betuwe                                      "
"Nederweert";"GM0946    ";"Nederweert                                        ";"Nederweert                                        "
"Neerijnen";"GM0304    ";"Neerijnen                                         ";"Neerijnen                                         "
"Nieuwegein";"GM0356    ";"Nieuwegein                                        ";"Nieuwegein                                        "
"Nieuwkoop";"GM0569    ";"Nieuwkoop                                         ";"Nieuwkoop                                         "
"Nijkerk";"GM0267    ";"Nijkerk                                           ";"Nijkerk                                           "
"Nijmegen";"GM0268    ";"Nijmegen                                          ";"Nijmegen                                          "
"Nissewaard";"GM1930    ";"Nissewaard                                        ";"Nissewaard                                        "
"Noord-Beveland";"GM1695    ";"Noord-Beveland                                    ";"Noord+Beveland                                    "
"Noordenveld";"GM1699    ";"Noordenveld                                       ";"Noordenveld                                       "
"Noordoostpolder";"GM0171    ";"Noordoostpolder                                   ";"Noordoostpolder                                   "
"Noordwijk";"GM0575    ";"Noordwijk                                         ";"Noordwijk                                         "
"Noordwijkerhout";"GM0576    ";"Noordwijkerhout                                   ";"Noordwijkerhout                                   "
"Nuenen, Gerwen en Nederwetten";"GM0820    ";"Nuenen, Gerwen en Nederwetten                     ";"Nuenen, Gerwen en Nederwetten                     "
"Nunspeet";"GM0302    ";"Nunspeet                                          ";"Nunspeet                                          "
"Nuth";"GM0951    ";"Nuth                                              ";"Nuth                                              "
"Oegstgeest";"GM0579    ";"Oegstgeest                                        ";"Oegstgeest                                        "
"Oirschot";"GM0823    ";"Oirschot                                          ";"Oirschot                                          "
"Oisterwijk";"GM0824    ";"Oisterwijk                                        ";"Oisterwijk                                        "
"Oldambt";"GM1895    ";"Oldambt                                           ";"Oldambt                                           "
"Oldebroek";"GM0269    ";"Oldebroek                                         ";"Oldebroek                                         "
"Oldenzaal";"GM0173    ";"Oldenzaal                                         ";"Oldenzaal                                         "
"Olst-Wijhe";"GM1773    ";"Olst-Wijhe                                        ";"Olst+Wijhe                                        "
"Ommen";"GM0175    ";"Ommen                                             ";"Ommen                                             "
"Onderbanken";"GM0881    ";"Onderbanken                                       ";"Onderbanken                                       "
"Oost Gelre";"GM1586    ";"Oost Gelre                                        ";"Oost Gelre                                        "
"Oosterhout";"GM0826    ";"Oosterhout                                        ";"Oosterhout                                        "
"Ooststellingwerf";"GM0085    ";"Ooststellingwerf                                  ";"Ooststellingwerf                                  "
"Oostzaan";"GM0431    ";"Oostzaan                                          ";"Oostzaan                                          "
"Opmeer";"GM0432    ";"Opmeer                                            ";"Opmeer                                            "
"Opsterland";"GM0086    ";"Opsterland                                        ";"Opsterland                                        "
"Oss";"GM0828    ";"Oss                                               ";"Oss                                               "
"Oud-Beijerland";"GM0584    ";"Oud-Beijerland                                    ";"Oud+Beijerland                                    "
"Oude IJsselstreek";"GM1509    ";"Oude IJsselstreek                                 ";"Oude IJsselstreek                                 "
"Ouder-Amstel";"GM0437    ";"Ouder-Amstel                                      ";"Ouder+Amstel                                      "
"Oudewater";"GM0589    ";"Oudewater                                         ";"Oudewater                                         "
"Overbetuwe";"GM1734    ";"Overbetuwe                                        ";"Overbetuwe                                        "
"Papendrecht";"GM0590    ";"Papendrecht                                       ";"Papendrecht                                       "
"Peel en Maas";"GM1894    ";"Peel en Maas                                      ";"Peel en Maas                                      "
"Pekela";"GM0765    ";"Pekela                                            ";"Pekela                                            "
"Pijnacker-Nootdorp";"GM1926    ";"Pijnacker-Nootdorp                                ";"Pijnacker+Nootdorp                                "
"Purmerend";"GM0439    ";"Purmerend                                         ";"Purmerend                                         "
"Putten";"GM0273    ";"Putten                                            ";"Putten                                            "
"Raalte";"GM0177    ";"Raalte                                            ";"Raalte                                            "
"Reimerswaal";"GM0703    ";"Reimerswaal                                       ";"Reimerswaal                                       "
"Renkum";"GM0274    ";"Renkum                                            ";"Renkum                                            "
"Renswoude";"GM0339    ";"Renswoude                                         ";"Renswoude                                         "
"Reusel-De Mierden";"GM1667    ";"Reusel-De Mierden                                 ";"Reusel+De Mierden                                 "
"Rheden";"GM0275    ";"Rheden                                            ";"Rheden                                            "
"Rhenen";"GM0340    ";"Rhenen                                            ";"Rhenen                                            "
"Ridderkerk";"GM0597    ";"Ridderkerk                                        ";"Ridderkerk                                        "
"Rijssen-Holten";"GM1742    ";"Rijssen-Holten                                    ";"Rijssen+Holten                                    "
"Rijswijk (ZH.)";"GM0603    ";"Rijswijk                                          ";"Rijswijk                                          "
"Roerdalen";"GM1669    ";"Roerdalen                                         ";"Roerdalen                                         "
"Roermond";"GM0957    ";"Roermond                                          ";"Roermond                                          "
"De Ronde Venen";"GM0736    ";"De Ronde Venen                                    ";"Ronde Venen De                                    "
"Roosendaal";"GM1674    ";"Roosendaal                                        ";"Roosendaal                                        "
"Rotterdam";"GM0599    ";"Rotterdam                                         ";"Rotterdam                                         "
"Rozendaal";"GM0277    ";"Rozendaal                                         ";"Rozendaal                                         "
"Rucphen";"GM0840    ";"Rucphen                                           ";"Rucphen                                           "
"Schagen";"GM0441    ";"Schagen                                           ";"Schagen                                           "
"Scherpenzeel";"GM0279    ";"Scherpenzeel                                      ";"Scherpenzeel                                      "
"Schiedam";"GM0606    ";"Schiedam                                          ";"Schiedam                                          "
"Schiermonnikoog";"GM0088    ";"Schiermonnikoog                                   ";"Schiermonnikoog                                   "
"Schinnen";"GM0962    ";"Schinnen                                          ";"Schinnen                                          "
"Schouwen-Duiveland";"GM1676    ";"Schouwen-Duiveland                                ";"Schouwen+Duiveland                                "
"Simpelveld";"GM0965    ";"Simpelveld                                        ";"Simpelveld                                        "
"Sint Anthonis";"GM1702    ";"Sint Anthonis                                     ";"Sint Anthonis                                     "
"Sint-Michielsgestel";"GM0845    ";"Sint-Michielsgestel                               ";"Sint+Michielsgestel                               "
"Sittard-Geleen";"GM1883    ";"Sittard-Geleen                                    ";"Sittard+Geleen                                    "
"Sliedrecht";"GM0610    ";"Sliedrecht                                        ";"Sliedrecht                                        "
"Sluis";"GM1714    ";"Sluis                                             ";"Sluis                                             "
"Smallingerland";"GM0090    ";"Smallingerland                                    ";"Smallingerland                                    "
"Soest";"GM0342    ";"Soest                                             ";"Soest                                             "
"Someren";"GM0847    ";"Someren                                           ";"Someren                                           "
"Son en Breugel";"GM0848    ";"Son en Breugel                                    ";"Son en Breugel                                    "
"Stadskanaal";"GM0037    ";"Stadskanaal                                       ";"Stadskanaal                                       "
"Staphorst";"GM0180    ";"Staphorst                                         ";"Staphorst                                         "
"Stede Broec";"GM0532    ";"Stede Broec                                       ";"Stede Broec                                       "
"Steenbergen";"GM0851    ";"Steenbergen                                       ";"Steenbergen                                       "
"Steenwijkerland";"GM1708    ";"Steenwijkerland                                   ";"Steenwijkerland                                   "
"Stein (L.)";"GM0971    ";"Stein                                             ";"Stein                                             "
"Stichtse Vecht";"GM1904    ";"Stichtse Vecht                                    ";"Stichtse Vecht                                    "
"Strijen";"GM0617    ";"Strijen                                           ";"Strijen                                           "
"Súdwest-Fryslân";"GM1900    ";"Súdwest-Fryslân                                   ";"Sudwest-Fryslan                                   "
"Terneuzen";"GM0715    ";"Terneuzen                                         ";"Terneuzen                                         "
"Terschelling";"GM0093    ";"Terschelling                                      ";"Terschelling                                      "
"Texel";"GM0448    ";"Texel                                             ";"Texel                                             "
"Teylingen";"GM1525    ";"Teylingen                                         ";"Teylingen                                         "
"Tholen";"GM0716    ";"Tholen                                            ";"Tholen                                            "
