from_id,to_id,from,to,jobs,distance
35,22,Noordoost-Noord-Brabant (CR),Zaanstreek (CR),0.1,109.5
36,4,Zuidoost-Noord-Brabant (CR),Noord-Friesland (CR),0.1,227.6
36,5,Zuidoost-Noord-Brabant (CR),Zuidwest-Friesland (CR),0.1,202.5
36,6,Zuidoost-Noord-Brabant (CR),Zuidoost-Friesland (CR),0.1,215.2
36,9,Zuidoost-Noord-Brabant (CR),Zuidwest-Drenthe (CR),0.1,173.7
36,11,Zuidoost-Noord-Brabant (CR),Zuidwest-Overijssel (CR),0.1,118.7
36,18,Zuidoost-Noord-Brabant (CR),Kop van Noord-Holland (CR),0.1,170
36,19,Zuidoost-Noord-Brabant (CR),Alkmaar en omgeving (CR),0.1,159.4
36,20,Zuidoost-Noord-Brabant (CR),IJmond (CR),0.1,145.2
36,21,Zuidoost-Noord-Brabant (CR),Agglomeratie Haarlem (CR),0.1,134.3
37,3,Noord-Limburg (CR),Overig Groningen (CR),0.1,210.5
37,5,Noord-Limburg (CR),Zuidwest-Friesland (CR),0.1,194.7
37,9,Noord-Limburg (CR),Zuidwest-Drenthe (CR),0.1,174.7
37,10,Noord-Limburg (CR),Noord-Overijssel (CR),0.1,140.3
37,18,Noord-Limburg (CR),Kop van Noord-Holland (CR),0.1,196.3
37,24,Noord-Limburg (CR),Het Gooi en Vechtstreek (CR),0.1,131
37,25,Noord-Limburg (CR),Agglomeratie Leiden en Bollenstreek (CR),0.1,156.4
37,27,Noord-Limburg (CR),Delft en Westland (CR),0.1,161.7
37,28,Noord-Limburg (CR),Oost-Zuid-Holland (CR),0.1,134.6
37,31,Noord-Limburg (CR),Zeeuwsch-Vlaanderen (CR),0.1,203.2
37,32,Noord-Limburg (CR),Overig Zeeland (CR),0.1,181.2
